,ACID,No. A/C,TYPE A/C,ALT,MAJOR CITY,COLOR,Injury Reported,CITY,STATE,hr_adj,date_time,day_of_week,holidays
0,AIR1,1,HELO,2000,LEX,Green,NO,Lexington,Kentucky,1,10-01-01 1:02,Friday,TRUE
1,ASA513,1,B737,10000,LAX,Green,NO,Los Angeles,California,4,10-01-01 4:03,Friday,TRUE
2,EGF3002,1,E135,7000,LAX,Green,NO,Los Angeles,California,2,10-01-01 2:46,Friday,TRUE
3,EGF3086,1,E135,7000,LAX,Green,NO,Los Angeles,California,1,10-01-01 1:57,Friday,TRUE
4,JBU300,1,A320,12500,SLI,Green,NO,Los Alamitos,California,2,10-01-01 2:58,Friday,TRUE
5,JBU303,1,A320,2000,LGB,Green,NO,Los Angeles,California,2,10-01-01 2:55,Friday,TRUE
6,PD2,1,E120,700,FAT,Green,NO,Fresno,California,8,10-01-01 8:57,Friday,TRUE
7,SKW6083,1,CRJ2,6800,LNK,Green,NO,Lincoln,Nebraska,0,10-01-01 0:44,Friday,TRUE
8,SKW6318,1,E120,1000,LAX,Green,NO,Los Angeles,California,1,10-01-01 1:55,Friday,TRUE
9,SKW6433,1,CRJ2,1000,FAT,Green,NO,Fresno,California,7,10-01-01 7:30,Friday,TRUE
10,SWA3652,1,B737,3000,OAK,Green,NO,Oakland,California,3,10-01-01 3:02,Friday,TRUE
11,BTA2194,1,E145,36000,TBD,Green,NO, Thibodaux,Louisiana,2,10-01-02 2:44,Saturday,FALSE
12,ASH9421,1,CRJ9,2500,PHX,Green,NO,Phoenix,Arizona,8,10-01-03 8:22,Sunday,FALSE
13,COA1671,1,B733,1000,TUS,Green,NO,Tucson,Arizona,2,10-01-03 2:31,Sunday,FALSE
14,DAL1298,1,MD81,2000,PHL,Green,NO,Philadelphia,Pennsylvania,5,10-01-03 5:18,Sunday,FALSE
15,EGF2771,2,E135,UNKN,VPS,Green,NO,Eglin AFB,Florida,0,10-01-03 0:00,Sunday,FALSE
16,EGF4325,1,E145,800,ORD,Green,NO,Chicago,Illinois,2,10-01-03 2:07,Sunday,FALSE
17,FRT753,1,A319,9000,LAX,Green,NO,Los Angeles,California,8,10-01-03 8:28,Sunday,FALSE
18,JEM94,1,C750,3000,SGR,Green,NO,Sugar Land (Houston),Texas,3,10-01-03 3:15,Sunday,FALSE
19,SKW6430,1,CRJ7,UNKN,SAT,Green,NO,San Antonio,Texas,6,10-01-03 6:06,Sunday,FALSE
20,SSX3335,1,DH8D,11000,ALB,Green,NO,Albany,New York,5,10-01-04 5:20,Monday,FALSE
21,AAL1543,1,MD81,5200,SJC,Red,NO,San Jose,California,3,10-01-05 3:09,Tuesday,FALSE
22,BTA2901,1,E45X,FL300,TBD,Green,NO, Thibodaux,Louisiana,0,10-01-05 0:49,Tuesday,FALSE
23,N725BH,1,PA31,3800,TUS,Green,NO,Tucson,Arizona,3,10-01-05 3:41,Tuesday,FALSE
24,SKW6284,1,E120,1100,LAX,Green,NO,Los Angeles,California,7,10-01-05 7:00,Tuesday,FALSE
25,SWA2542,1,B737,5000,MZB,Green,NO,Mission Bay ,California,2,10-01-05 2:26,Tuesday,FALSE
26,AAL127,1,MD81,3500,MZB,Green,NO, Mission Bay ,California,3,10-01-06 3:50,Wednesday,FALSE
27,N241CT,1,WW24,1800,SJU,Green,NO,San Juan,Puerto Rico,1,10-01-06 1:53,Wednesday,FALSE
28,N35WS,1,C172,3000,CLT,Green,NO,Charlotte,North Carolina,1,10-01-06 1:17,Wednesday,FALSE
29,AIR1,1,B206B,3000,TUS,Green ,NO,Tucson,Arizona,3,10-01-06 3:46,Wednesday,FALSE
30,SWA2523,1,B737,13000,OCN,Green/White,NO,Oceanside,California,5,10-01-06 5:22,Wednesday,FALSE
31,VRD418,1,A320,FL180,SLI,Green,NO,Los Alamitos,California,5,10-01-06 5:57,Wednesday,FALSE
32,SKW5959,1,E120,4000,SFO,Green,NO,San Francisco,California,5,10-01-06 5:40,Wednesday,FALSE
33,AAL443,1,B738,800,MIA,Green,NO,Miami,Florida,2,10-01-07 2:57,Thursday,FALSE
34,N945SM,1,C172,2000,SQL,Green,NO,San Carlos,California,2,10-01-07 2:34,Thursday,FALSE
35,SWA1236,1,B737,9000,LAX,Green,NO,Los Angeles,California,4,10-01-07 4:20,Thursday,FALSE
36,ASH2782,1,CRJ9,8000,PHX,Green,NO,Phoenix,Arizona,2,10-01-08 2:42,Friday,FALSE
37,NWA2405,1,A320,3200,PBI,Green,NO,West Palm Beach,Florida,3,10-01-08 3:23,Friday,FALSE
38,SKW6169,1,E120,3000,LAX,Green,NO,Los Angeles,California,2,10-01-08 2:01,Friday,FALSE
39,SKW1236,1,B733,9000,LAX,Green,NO,Los Angeles,California,4,10-01-08 4:40,Friday,FALSE
40,OMAHA30A ,1,HELO,900,MZB,Green,NO,San Diego,California,8,10-01-09 8:08,Saturday,FALSE
41,UAL485,1,A319,9000,SAC,Green,NO,Sacramento,California,8,10-01-09 8:15,Saturday,FALSE
42,VRD371,1,A320,10000,LAX,Green,NO,Los Angeles,California,9,10-01-09 9:13,Saturday,FALSE
43,ASA870,3,B738,1600,HNL,Green,NO,Honolulu,Hawaii,5,10-01-10 5:48,Sunday,FALSE
44,AAL2194,1,B737,6500,LAX,Green,NO,Los Angeles,California,7,10-01-10 7:05,Sunday,FALSE
45,N54FT,1,C501,2000,SAT,Green,NO,San Antonio,Texas,5,10-01-10 5:14,Sunday,FALSE
46,POLICE18,1,HELO,1000,LAX,Green,NO,Los Angeles,California,12,10-01-10 12:19,Sunday,FALSE
47,AAL2355,1,MD82,FL200,BYP,Green,NO,Bonham,Texas,4,10-01-11 4:27,Monday,FALSE
48,HAL48,1,B763,3000,OAK,Green,NO,Oakland,California,4,10-01-11 4:10,Monday,FALSE
49,EJA944,1,C750,10000,SJC,Green,NO,San Jose,California,6,10-01-12 6:19,Tuesday,FALSE
50,SWA1337,1,B737,10000,SJC,Green,NO,San Jose,California,6,10-01-12 6:17,Tuesday,FALSE
51,FDX1294,1,DC10,34000,LOU,Green,NO,Louisville,Kentucky,4,10-01-13 4:03,Wednesday,FALSE
52,N871CP,1,C182,1500,CHA,Green,NO,Chattanooga,Tennessee,23,10-01-13 23:37,Wednesday,FALSE
53,SKW6349,1,CRJ2,2000,SFO,Green,NO,San Francisco,California,8,10-01-13 8:52,Wednesday,FALSE
54,SKW6699,1,CRJ2,13000,DEN,Green,NO,Denver,Colorado,2,10-01-13 2:54,Wednesday,FALSE
55,TIGER22,1,P3,2000,MYR,Green,NO,Myrtle Beach,South Carolina,0,10-01-13 0:44,Wednesday,FALSE
56,AWE1240,1,B737,6000,PHL,Green,NO,Philadelphia,Pennsylvania,0,10-01-14 0:30,Thursday,FALSE
57,FIV629,1,C680,3000,SAC,Green,NO,Sacramento,California,3,10-01-14 3:37,Thursday,FALSE
58,JENA231,1,UNKN,2500,TMB,Green,NO,Tamiami,Florida,23,10-01-14 23:33,Thursday,FALSE
59,SWA1483,1,B737,2000,SFO,Green,NO,San Francisco,California,4,10-01-14 4:50,Thursday,FALSE
60,TV11,1,AS350,900,LGB,Green,NO,Long Beach,California,6,10-01-14 6:37,Thursday,FALSE
61,BTA3104,1,E45X,1000,IAH,Green,NO,Houston,Texas,2,10-01-15 2:13,Friday,FALSE
62,SKW6049,1,CRJ2,2500,LAX,Green,NO,Los Angeles,California,4,10-01-15 4:43,Friday,FALSE
63,SWA224,1,B733,7000,PHX,Green,NO,Phoenix,Arizona,6,10-01-15 6:21,Friday,FALSE
64,UAL965,1,A320,1000,IAH,Green,NO,Houston,Texas,2,10-01-15 2:15,Friday,FALSE
65,SWA798,1,B737,7000,SJC,Green,NO,San Jose,California,6,10-01-15 6:14,Friday,FALSE
66,UPS1534,1,A306,1800,BHM,Green,NO,Birmingham,Alabama,11,10-01-15 11:07,Friday,FALSE
67,AAL1831,1,B738,6500,MIA,Green,NO,Miami,Florida,3,10-01-16 3:33,Saturday,FALSE
68,JBU425,1,A306,2000,PBI,Green,NO,West Palm Beach,Florida,1,10-01-16 1:00,Saturday,FALSE
69,BTA2134,3,E145,1000,IAH,Green,NO,Houston,Texas,2,10-01-16 2:20,Saturday,FALSE
70,SWA1781,1,B737,7000,SNS,Green,NO,Salinas,California,6,10-01-16 6:32,Saturday,FALSE
71,SWA1999,1,B737,8000,SJC,Green,NO,San Jose,California,2,10-01-16 2:05,Saturday,FALSE
72,SKW649,1,UNKN,2500,LAX,Green,NO,Los Angeles,California,4,10-01-16 4:36,Saturday,FALSE
