Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,10.8,10.89,10.74,10.89,9.942261,8415100,AMAT
2012-12-07,10.93,10.98,10.83,10.97,10.015296000000001,8275000,AMAT
2012-12-10,10.92,11.13,10.91,11.05,10.088337,9550300,AMAT
2012-12-11,11.1,11.2,11.06,11.08,10.115725,10379400,AMAT
2012-12-12,11.11,11.25,11.08,11.09,10.124855,11821900,AMAT
2012-12-13,11.14,11.22,10.94,11.11,10.143112,14793200,AMAT
2012-12-14,11.03,11.18,11.01,11.08,10.115725,7604500,AMAT
2012-12-17,11.09,11.17,10.99,11.11,10.143112,9299300,AMAT
2012-12-18,11.09,11.25,11.02,11.18,10.207021000000001,10522600,AMAT
2012-12-19,11.24,11.38,11.22,11.34,10.353097,11180100,AMAT
2012-12-20,11.34,11.39,11.2,11.38,10.389612,9755900,AMAT
2012-12-21,11.2,11.5,11.02,11.5,10.499174,31340200,AMAT
2012-12-24,11.39,11.49,11.3,11.37,10.380484,5279500,AMAT
2012-12-26,11.37,11.45,11.3,11.39,10.398747,8168900,AMAT
2012-12-27,11.37,11.45,11.19,11.35,10.362226,11111400,AMAT
2012-12-28,11.25,11.38,11.22,11.26,10.28006,10012200,AMAT
2012-12-31,11.25,11.44,11.2,11.44,10.444393,9255000,AMAT
2013-01-02,11.64,11.84,11.61,11.84,10.809581,12963700,AMAT
2013-01-03,11.84,11.9,11.7,11.81,10.782194,8741500,AMAT
2013-01-04,11.82,11.87,11.71,11.81,10.782194,7446400,AMAT
2013-01-07,11.47,11.71,11.39,11.67,10.654378,14497900,AMAT
2013-01-08,11.58,11.65,11.48,11.51,10.508299000000001,8260500,AMAT
2013-01-09,11.52,11.72,11.49,11.68,10.663506,11170300,AMAT
2013-01-10,11.72,11.85,11.62,11.64,10.626987,10049100,AMAT
2013-01-11,11.67,11.74,11.63,11.71,10.690896,8091600,AMAT
2013-01-14,11.67,11.79,11.59,11.75,10.727416999999999,7886000,AMAT
2013-01-15,11.72,11.82,11.6,11.77,10.745673,10354600,AMAT
2013-01-16,11.74,12.05,11.7,11.93,10.891751,15492500,AMAT
2013-01-17,11.95,12.45,11.94,12.4,11.320846000000001,27137200,AMAT
2013-01-18,12.5,12.89,12.41,12.65,11.549088000000001,48524600,AMAT
2013-01-22,12.59,12.73,12.54,12.71,11.603867999999999,14624600,AMAT
2013-01-23,12.74,12.74,12.59,12.7,11.594738000000001,11479900,AMAT
2013-01-24,12.7,12.79,12.57,12.6,11.503442,10370800,AMAT
2013-01-25,12.76,12.98,12.74,12.83,11.713425,18953100,AMAT
2013-01-28,12.87,13.04,12.82,12.96,11.832112,11216100,AMAT
2013-01-29,12.89,12.9,12.73,12.8,11.686038,9317300,AMAT
2013-01-30,12.76,12.94,12.73,12.86,11.740815,10831500,AMAT
2013-01-31,12.85,12.98,12.8,12.91,11.786462,9730300,AMAT
2013-02-01,12.93,13.19,12.87,13.17,12.023833,17042500,AMAT
