Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,11.25,11.4,11.2,11.36,10.838261,6418000,ATVI
2012-12-07,11.41,11.5,11.21,11.34,10.819180000000001,7298500,ATVI
2012-12-10,11.32,11.49,11.29,11.43,10.905046,4866700,ATVI
2012-12-11,11.47,11.61,11.36,11.58,11.048157000000002,10640600,ATVI
2012-12-12,11.59,11.74,11.46,11.5,10.97183,8374600,ATVI
2012-12-13,11.47,11.59,11.41,11.49,10.962289,5293400,ATVI
2012-12-14,11.46,11.54,11.37,11.41,10.885963,3552200,ATVI
2012-12-17,11.39,11.39,11.04,11.13,10.618822999999999,9009700,ATVI
2012-12-18,11.19,11.27,10.99,11.11,10.599741999999999,9376700,ATVI
2012-12-19,11.17,11.17,10.73,10.85,10.351683,12672500,ATVI
2012-12-20,10.87,10.91,10.51,10.78,10.284898,14616500,ATVI
2012-12-21,10.54,10.7,10.5,10.65,10.160867999999999,11888900,ATVI
2012-12-24,10.6,10.75,10.59,10.68,10.189492,2159700,ATVI
2012-12-26,10.65,10.75,10.62,10.67,10.179950999999999,3604900,ATVI
2012-12-27,10.63,10.66,10.5,10.59,10.103624,5274100,ATVI
2012-12-28,10.57,10.67,10.52,10.56,10.075004,4719500,ATVI
2012-12-31,10.5,10.67,10.48,10.62,10.132247,6038700,ATVI
2013-01-02,10.85,10.95,10.75,10.95,10.44709,6091900,ATVI
2013-01-03,10.89,11.01,10.88,11.01,10.504334,7201700,ATVI
2013-01-04,11.03,11.21,10.99,11.17,10.656985,4070700,ATVI
2013-01-07,11.15,11.25,11.05,11.18,10.666527,3655900,ATVI
2013-01-08,11.1,11.16,10.96,10.99,10.485253,6141800,ATVI
2013-01-09,11.04,11.05,10.9,10.94,10.437549,3489300,ATVI
2013-01-10,10.99,11.02,10.85,10.93,10.428009,4141500,ATVI
2013-01-11,10.85,11.52,10.8,11.52,10.990912,21329000,ATVI
2013-01-14,11.5,11.59,11.41,11.5,10.97183,7227900,ATVI
2013-01-15,11.44,11.6,11.43,11.57,11.038614,4764400,ATVI
