Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,10.51,10.58,10.29,10.46,9.914278999999999,176607900,BAC
2012-12-07,10.56,10.68,10.48,10.64,10.084889,192055100,BAC
2012-12-10,10.6,10.63,10.46,10.57,10.018538000000001,148065200,BAC
2012-12-11,10.64,10.71,10.5,10.51,9.961668,159121300,BAC
2012-12-12,10.59,10.7,10.51,10.61,10.056451,166819300,BAC
2012-12-13,10.59,10.66,10.51,10.54,9.990103,106232100,BAC
2012-12-14,10.55,10.6,10.52,10.58,10.028016000000001,91707200,BAC
2012-12-17,10.65,11.0,10.64,11.0,10.426103999999999,170087700,BAC
2012-12-18,11.24,11.36,11.05,11.36,10.767323,255238400,BAC
2012-12-19,11.4,11.49,11.17,11.19,10.606192,193013700,BAC
2012-12-20,11.1,11.52,11.08,11.52,10.918974,184449000,BAC
2012-12-21,11.2,11.35,11.12,11.29,10.700974,244892300,BAC
2012-12-24,11.27,11.29,11.21,11.25,10.663061,50657100,BAC
2012-12-26,11.29,11.63,11.27,11.54,10.937934,146097900,BAC
2012-12-27,11.66,11.69,11.23,11.47,10.871586,210411400,BAC
2012-12-28,11.32,11.49,11.27,11.36,10.767323,131872200,BAC
2012-12-31,11.37,11.65,11.3,11.61,11.00428,170837500,BAC
2013-01-02,12.05,12.15,11.9,12.03,11.402366,236021400,BAC
2013-01-03,12.01,12.05,11.88,11.96,11.336019,157149700,BAC
2013-01-04,11.97,12.11,11.93,12.11,11.478195,132601900,BAC
2013-01-07,12.15,12.2,12.0,12.09,11.459236,201403500,BAC
2013-01-08,12.09,12.1,11.89,11.98,11.354975999999999,168461100,BAC
2013-01-09,11.87,12.0,11.33,11.43,10.833673,335692000,BAC
2013-01-10,11.61,11.81,11.54,11.78,11.165410000000001,199964900,BAC
2013-01-11,11.7,11.72,11.51,11.63,11.023236,146136700,BAC
2013-01-14,11.61,11.63,11.38,11.47,10.871586,110032900,BAC
2013-01-15,11.38,11.62,11.3,11.55,10.947410000000001,126058300,BAC
2013-01-16,11.58,11.79,11.47,11.78,11.165410000000001,164579300,BAC
2013-01-17,11.69,11.7,11.17,11.28,10.691496,323622200,BAC
2013-01-18,11.26,11.33,11.02,11.14,10.558802,179971800,BAC
2013-01-22,11.12,11.36,11.09,11.35,10.757844,137242700,BAC
2013-01-23,11.38,11.44,11.23,11.42,10.824192,121638200,BAC
2013-01-24,11.45,11.67,11.42,11.53,10.928450999999999,127870800,BAC
2013-01-25,11.69,11.72,11.51,11.62,11.013760000000001,100171600,BAC
2013-01-28,11.64,11.67,11.43,11.48,10.881063000000001,91304200,BAC
2013-01-29,11.42,11.58,11.4,11.49,10.89054,96824100,BAC
2013-01-30,11.49,11.54,11.35,11.38,10.786278999999999,89130200,BAC
2013-01-31,11.32,11.36,11.22,11.32,10.729410000000001,97024700,BAC
2013-02-01,11.41,11.73,11.37,11.71,11.099063000000001,161141300,BAC
2013-02-04,11.58,11.69,11.46,11.48,10.881063000000001,139733000,BAC
2013-02-05,11.59,11.98,11.56,11.88,11.260194,187785900,BAC
2013-02-06,11.73,11.97,11.73,11.93,11.307584,173626800,BAC
2013-02-07,11.97,11.98,11.73,11.84,11.22228,173209900,BAC
2013-02-08,11.86,11.9,11.72,11.76,11.146455,145321100,BAC
2013-02-11,11.73,11.9,11.67,11.86,11.241236,103510800,BAC
2013-02-12,11.87,12.34,11.78,12.25,11.610889,232173900,BAC
2013-02-13,12.35,12.42,12.05,12.17,11.535065,192742500,BAC
2013-02-14,12.09,12.27,12.07,12.13,11.497149,144104800,BAC
2013-02-15,12.21,12.21,11.97,12.03,11.402366,158242700,BAC
2013-02-19,12.1,12.31,12.06,12.19,11.554017,170783400,BAC
2013-02-20,12.18,12.29,11.75,11.8,11.184367,193466400,BAC
2013-02-21,11.73,11.73,11.35,11.42,10.824192,235532400,BAC
2013-02-22,11.62,11.64,11.26,11.44,10.843148,179268200,BAC
2013-02-25,11.6,11.61,10.98,11.03,10.45454,206893900,BAC
2013-02-26,11.12,11.22,11.03,11.13,10.549324,173039600,BAC
2013-02-27,11.15,11.36,11.1,11.3,10.720086,147145400,BAC
2013-02-28,11.33,11.37,11.2,11.23,10.653678,143546700,BAC
2013-03-01,11.13,11.55,11.02,11.34,10.758034,189050700,BAC
2013-03-04,11.27,11.45,11.22,11.41,10.82444,116436000,BAC
2013-03-05,11.56,11.71,11.53,11.55,10.957257,135869700,BAC
2013-03-06,11.77,12.02,11.76,11.92,11.308269000000001,182557500,BAC
2013-03-07,12.0,12.28,11.98,12.26,11.630817,212403800,BAC
2013-03-08,12.42,12.44,12.02,12.07,11.450569,209777100,BAC
2013-03-11,12.08,12.22,12.02,12.15,11.526464,106427800,BAC
2013-03-12,12.11,12.18,11.91,12.01,11.393647,128134700,BAC
2013-03-13,12.04,12.11,11.98,12.06,11.441084,86216800,BAC
2013-03-14,12.12,12.19,12.1,12.11,11.488516,115440000,BAC
2013-03-15,12.52,12.66,12.35,12.57,11.924909,319019100,BAC
2013-03-18,12.29,12.68,12.26,12.56,11.915421,189783300,BAC
2013-03-19,12.79,12.94,12.59,12.71,12.057724,242939600,BAC
2013-03-20,12.79,12.89,12.71,12.78,12.124130000000001,219121700,BAC
2013-03-21,12.71,12.84,12.55,12.57,11.924909,154529400,BAC
2013-03-22,12.62,12.67,12.48,12.56,11.915421,101974400,BAC
2013-03-25,12.68,12.72,12.32,12.4,11.763636,154320200,BAC
2013-03-26,12.45,12.5,12.15,12.28,11.649791,135654700,BAC
2013-03-27,12.14,12.28,12.12,12.23,11.602356,107177200,BAC
2013-03-28,12.24,12.28,12.11,12.18,11.554922,92013900,BAC
2013-04-01,12.15,12.28,12.1,12.15,11.526464,86281600,BAC
2013-04-02,12.24,12.25,12.14,12.15,11.526464,102626000,BAC
2013-04-03,12.12,12.14,11.72,11.81,11.203915,199765800,BAC
2013-04-04,11.81,11.99,11.72,11.94,11.327238000000001,117831400,BAC
2013-04-05,11.67,12.01,11.64,11.97,11.355701,141061900,BAC
2013-04-08,12.0,12.21,11.91,12.21,11.583383999999999,101419200,BAC
2013-04-09,12.25,12.35,12.21,12.25,11.621329,132365800,BAC
2013-04-10,12.31,12.4,12.26,12.32,11.68774,105853900,BAC
2013-04-11,12.31,12.33,12.16,12.27,11.640305,100241900,BAC
2013-04-12,12.15,12.25,12.07,12.17,11.545436,88191700,BAC
2013-04-15,12.19,12.32,11.97,11.98,11.365188,176504300,BAC
2013-04-16,12.21,12.36,12.08,12.28,11.649791,147641900,BAC
2013-04-17,11.91,12.02,11.45,11.7,11.099555,335408600,BAC
2013-04-18,11.61,11.65,11.23,11.44,10.852902,220290500,BAC
2013-04-19,11.56,11.69,11.43,11.66,11.06161,119792000,BAC
2013-04-22,11.68,11.75,11.57,11.72,11.118530999999999,88532300,BAC
2013-04-23,11.92,12.16,11.9,12.07,11.450569,176816000,BAC
2013-04-24,12.14,12.37,12.12,12.31,11.678253,120624900,BAC
2013-04-25,12.39,12.54,12.36,12.44,11.801578999999998,118694600,BAC
2013-04-26,12.34,12.46,12.29,12.42,11.782607,83093200,BAC
2013-04-29,12.45,12.48,12.37,12.38,11.744660000000001,65432400,BAC
2013-04-30,12.39,12.4,12.2,12.31,11.678253,89362100,BAC
2013-05-01,12.2,12.27,12.08,12.14,11.516976,88417800,BAC
2013-05-02,12.17,12.21,12.05,12.19,11.564408,76530500,BAC
2013-05-03,12.36,12.41,12.21,12.24,11.611842999999999,94322600,BAC
2013-05-06,12.39,12.89,12.36,12.88,12.219,265062800,BAC
2013-05-07,12.92,13.11,12.76,12.9,12.237972000000001,218248100,BAC
2013-05-08,12.85,13.18,12.84,13.02,12.351816,149755400,BAC
2013-05-09,13.05,13.06,12.87,12.91,12.24746,112952300,BAC
2013-05-10,12.94,13.04,12.89,13.02,12.351816,87625100,BAC
2013-05-13,12.98,13.1,12.95,12.98,12.313867,94295600,BAC
2013-05-14,13.04,13.36,13.02,13.34,12.655395,154128100,BAC
2013-05-15,13.29,13.55,13.29,13.44,12.750262,139728300,BAC
2013-05-16,13.41,13.55,13.32,13.36,12.674366000000001,117977000,BAC
2013-05-17,13.5,13.52,13.39,13.43,12.740772,107335600,BAC
2013-05-20,13.39,13.6,13.39,13.51,12.816667,88941700,BAC
2013-05-21,13.53,13.56,13.36,13.44,12.750262,111810300,BAC
2013-05-22,13.49,13.73,13.17,13.31,12.626932,174531500,BAC
2013-05-23,12.93,13.42,12.82,13.21,12.532063,190522000,BAC
2013-05-24,13.17,13.26,13.12,13.24,12.560521000000001,83452600,BAC
2013-05-28,13.49,13.51,13.31,13.35,12.66488,133553000,BAC
2013-05-29,13.31,13.56,13.27,13.48,12.788209,126397300,BAC
2013-05-30,13.5,13.93,13.43,13.83,13.120245,153383400,BAC
2013-05-31,13.91,13.99,13.65,13.66,12.958969999999999,160176100,BAC
2013-06-03,13.69,13.73,13.21,13.55,12.854614999999999,197168200,BAC
2013-06-04,13.51,13.67,13.31,13.36,12.674366000000001,130055400,BAC
2013-06-05,13.29,13.45,12.97,13.09,12.427525,185778900,BAC
2013-06-06,13.08,13.24,12.85,13.2,12.531959,142361900,BAC
2013-06-07,13.33,13.39,13.15,13.38,12.702848,121057300,BAC
2013-06-10,13.49,13.55,13.26,13.3,12.626897,104648500,BAC
2013-06-11,13.11,13.28,13.07,13.12,12.456006,106369100,BAC
2013-06-12,13.24,13.25,12.97,13.06,12.399045,117289400,BAC
2013-06-13,13.0,13.26,12.97,13.21,12.541454,103636400,BAC
2013-06-14,13.23,13.24,13.03,13.07,12.408536999999999,101380700,BAC
2013-06-17,13.17,13.26,13.13,13.21,12.541454,115441500,BAC
2013-06-18,13.22,13.34,13.2,13.27,12.598414,67257600,BAC
2013-06-19,13.29,13.4,13.17,13.19,12.522464,103850000,BAC
2013-06-20,13.08,13.14,12.8,12.89,12.237647,185741100,BAC
2013-06-21,12.99,13.0,12.39,12.69,12.047769,196004700,BAC
2013-06-24,12.4,12.45,12.13,12.3,11.677505,159762500,BAC
2013-06-25,12.61,12.77,12.43,12.67,12.028781,132844500,BAC
2013-06-26,12.84,12.85,12.68,12.76,12.114224,105282000,BAC
2013-06-27,12.84,13.03,12.78,13.01,12.351572,124616300,BAC
2013-06-28,12.97,13.0,12.84,12.86,12.209164999999999,90297100,BAC
2013-07-01,12.95,13.1,12.92,12.93,12.275621000000001,83146300,BAC
2013-07-02,12.95,13.1,12.8,12.9,12.24714,83708600,BAC
2013-07-03,12.82,12.84,12.73,12.83,12.180685,37971700,BAC
2013-07-05,12.99,13.08,12.91,13.06,12.399045,80758500,BAC
2013-07-08,13.11,13.37,13.08,13.28,12.607911,107441200,BAC
2013-07-09,13.37,13.53,13.25,13.53,12.845255,106067300,BAC
2013-07-10,13.51,13.53,13.31,13.37,12.693355,104353400,BAC
2013-07-11,13.54,13.58,13.33,13.51,12.826269,93756500,BAC
2013-07-12,13.54,13.8,13.47,13.78,13.082605000000001,123958400,BAC
2013-07-15,13.93,13.94,13.76,13.88,13.177543,90765200,BAC
2013-07-16,13.93,14.02,13.77,13.92,13.215520000000001,146041900,BAC
2013-07-17,14.06,14.44,14.04,14.31,13.585782,249674500,BAC
2013-07-18,14.4,14.85,14.4,14.76,14.013007,221796400,BAC
2013-07-19,14.76,14.76,14.6,14.75,14.003513,136196600,BAC
2013-07-22,14.74,14.99,14.65,14.92,14.164907000000001,112416800,BAC
2013-07-23,14.98,15.03,14.86,14.94,14.183897,113736000,BAC
2013-07-24,15.0,15.0,14.68,14.71,13.965535999999998,117771100,BAC
2013-07-25,14.62,14.85,14.54,14.83,14.079463,89243300,BAC
2013-07-26,14.7,14.76,14.62,14.73,13.984525,73777800,BAC
2013-07-29,14.65,14.7,14.45,14.52,13.785154,88616700,BAC
2013-07-30,14.58,14.63,14.46,14.52,13.785154,71675200,BAC
2013-07-31,14.58,14.85,14.57,14.6,13.861106,128182500,BAC
2013-08-01,14.85,14.97,14.82,14.95,14.193392999999999,108554200,BAC
2013-08-02,14.88,14.91,14.78,14.84,14.08896,83367400,BAC
2013-08-05,14.77,14.84,14.7,14.8,14.050984,61711900,BAC
2013-08-06,14.74,14.76,14.63,14.64,13.899080999999999,84249800,BAC
2013-08-07,14.43,14.57,14.25,14.53,13.794648,128693600,BAC
2013-08-08,14.68,14.7,14.44,14.61,13.870598000000001,88544100,BAC
2013-08-09,14.56,14.61,14.4,14.45,13.718698000000002,72897900,BAC
2013-08-12,14.36,14.47,14.32,14.41,13.680722,60867500,BAC
2013-08-13,14.47,14.62,14.33,14.51,13.775661,75777900,BAC
2013-08-14,14.55,14.75,14.54,14.6,13.861106,78553700,BAC
2013-08-15,14.46,14.47,14.31,14.32,13.595273,99238900,BAC
2013-08-16,14.29,14.47,14.21,14.42,13.690214000000001,104959000,BAC
2013-08-19,14.37,14.38,14.13,14.15,13.433876000000001,98384600,BAC
2013-08-20,14.18,14.38,13.98,14.29,13.566792999999999,114332500,BAC
2013-08-21,14.26,14.48,14.2,14.34,13.614263000000001,91680600,BAC
2013-08-22,14.47,14.6,14.4,14.57,13.832621,76348300,BAC
2013-08-23,14.59,14.69,14.51,14.57,13.832621,67699200,BAC
2013-08-26,14.53,14.7,14.49,14.49,13.756673000000001,68938900,BAC
2013-08-27,14.26,14.41,14.1,14.11,13.395903,122534200,BAC
2013-08-28,14.07,14.25,13.99,14.12,13.405396,96473600,BAC
2013-08-29,14.14,14.3,14.12,14.17,13.452866,76691500,BAC
2013-08-30,14.23,14.25,14.07,14.12,13.405396,73233400,BAC
2013-09-03,14.3,14.38,14.18,14.25,13.528818,74628700,BAC
2013-09-04,14.21,14.4,14.21,14.32,13.604822,71132500,BAC
2013-09-05,14.41,14.55,14.36,14.37,13.652323,71229200,BAC
2013-09-06,14.47,14.5,14.27,14.36,13.642823000000002,75513100,BAC
2013-09-09,14.41,14.49,14.37,14.48,13.756829999999999,53447300,BAC
2013-09-10,14.52,14.69,14.52,14.61,13.880338,93180300,BAC
2013-09-11,14.56,14.68,14.52,14.65,13.918341,81098900,BAC
2013-09-12,14.65,14.68,14.46,14.48,13.756829999999999,63355900,BAC
2013-09-13,14.46,14.55,14.45,14.49,13.766329,56793400,BAC
2013-09-16,14.61,14.68,14.53,14.53,13.804332999999998,65276500,BAC
2013-09-17,14.53,14.62,14.4,14.55,13.823336999999999,73686100,BAC
2013-09-18,14.53,14.82,14.49,14.71,13.975342000000001,127092600,BAC
2013-09-19,14.8,14.83,14.58,14.61,13.880338,79710700,BAC
2013-09-20,14.65,14.66,14.44,14.44,13.718831,145174800,BAC
2013-09-23,14.31,14.32,14.09,14.14,13.433813,127283100,BAC
2013-09-24,14.18,14.25,14.01,14.09,13.386311,96912800,BAC
2013-09-25,14.12,14.24,14.03,14.14,13.433813,86546100,BAC
2013-09-26,14.19,14.22,13.98,14.08,13.376809,89352900,BAC
2013-09-27,13.99,14.03,13.88,13.9,13.205797,79156000,BAC
2013-09-30,13.69,13.93,13.6,13.8,13.110791,104439900,BAC
2013-10-01,13.85,13.92,13.81,13.9,13.205797,57631000,BAC
2013-10-02,13.81,14.1,13.79,14.06,13.357807000000001,89186300,BAC
2013-10-03,14.07,14.1,13.83,14.0,13.300804000000001,95269000,BAC
2013-10-04,14.02,14.08,13.96,14.05,13.348307,63495400,BAC
2013-10-07,13.91,13.95,13.8,13.81,13.120295,64822700,BAC
2013-10-08,13.83,13.9,13.68,13.69,13.006287,92746200,BAC
2013-10-09,13.72,13.93,13.69,13.84,13.148792000000002,96012800,BAC
2013-10-10,14.03,14.25,14.01,14.23,13.519316,102305800,BAC
2013-10-11,14.24,14.28,14.11,14.19,13.481314000000001,83422000,BAC
2013-10-14,14.06,14.39,14.05,14.35,13.633323999999998,78367500,BAC
2013-10-15,14.39,14.43,14.21,14.24,13.528817000000002,102099300,BAC
2013-10-16,14.32,14.61,14.32,14.56,13.832837,153481000,BAC
2013-10-17,14.45,14.66,14.41,14.66,13.927842000000002,94090800,BAC
2013-10-18,14.68,14.72,14.53,14.63,13.899341,96986400,BAC
2013-10-21,14.53,14.59,14.47,14.52,13.794832000000001,91280600,BAC
2013-10-22,14.55,14.63,14.45,14.52,13.794832000000001,102836000,BAC
2013-10-23,14.45,14.48,14.17,14.21,13.500317,108529700,BAC
2013-10-24,14.12,14.2,14.07,14.17,13.462317,92566100,BAC
2013-10-25,14.15,14.27,14.14,14.26,13.547817000000002,58592400,BAC
2013-10-28,14.29,14.32,14.21,14.23,13.519316,62328000,BAC
2013-10-29,14.26,14.29,14.06,14.15,13.443311999999999,79563100,BAC
2013-10-30,14.19,14.29,14.15,14.17,13.462317,76624200,BAC
2013-10-31,14.14,14.16,13.96,13.97,13.272304,105713400,BAC
2013-11-01,14.0,14.1,13.96,14.02,13.319806,75610400,BAC
2013-11-04,14.09,14.12,14.0,14.04,13.338804999999999,53063200,BAC
2013-11-05,13.99,14.02,13.9,13.93,13.234301,71809700,BAC
2013-11-06,13.99,14.02,13.91,13.96,13.2628,66712900,BAC
2013-11-07,14.0,14.03,13.8,13.8,13.110791,80775000,BAC
2013-11-08,13.86,14.32,13.84,14.32,13.604822,158227300,BAC
2013-11-11,14.27,14.42,14.24,14.4,13.680826999999999,66357400,BAC
2013-11-12,14.33,14.46,14.26,14.32,13.604822,69498300,BAC
2013-11-13,14.26,14.64,14.2,14.64,13.908839000000002,128018500,BAC
2013-11-14,14.68,14.82,14.61,14.8,14.060851000000001,128999400,BAC
2013-11-15,14.79,14.95,14.77,14.92,14.174857999999999,105475300,BAC
2013-11-18,14.98,15.17,14.86,14.92,14.174857999999999,145554400,BAC
2013-11-19,14.98,15.3,14.97,15.2,14.440873000000002,161505600,BAC
2013-11-20,15.25,15.27,15.08,15.14,14.383870000000002,107174900,BAC
2013-11-21,15.22,15.6,15.2,15.59,14.811395999999998,142053600,BAC
2013-11-22,15.7,15.79,15.6,15.64,14.858898000000002,110331100,BAC
2013-11-25,15.67,15.98,15.66,15.81,15.020407,153765500,BAC
2013-11-26,15.84,15.97,15.81,15.88,15.086912,114833700,BAC
2013-11-27,15.87,15.94,15.76,15.83,15.03941,75503600,BAC
2013-11-29,15.84,15.92,15.79,15.82,15.029906,44288400,BAC
2013-12-02,15.84,15.97,15.7,15.73,14.944401000000001,92987400,BAC
2013-12-03,15.64,15.79,15.39,15.54,14.763892000000002,106450300,BAC
2013-12-04,15.39,15.73,15.36,15.63,14.858959,96678100,BAC
2013-12-05,15.61,15.64,15.36,15.43,14.668825,95230500,BAC
2013-12-06,15.61,15.72,15.46,15.56,14.792414,92203100,BAC
2013-12-09,15.62,15.67,15.56,15.58,14.811425,50167200,BAC
2013-12-10,15.52,15.68,15.51,15.56,14.792414,67486300,BAC
2013-12-11,15.55,15.55,15.18,15.25,14.497704999999998,117565000,BAC
2013-12-12,15.26,15.35,15.12,15.25,14.497704999999998,76113900,BAC
2013-12-13,15.28,15.33,15.13,15.18,14.431159,61575600,BAC
2013-12-16,15.22,15.34,15.2,15.24,14.488198,71467000,BAC
2013-12-17,15.24,15.3,15.14,15.18,14.431159,74247300,BAC
2013-12-18,15.28,15.71,15.06,15.69,14.915997,152929300,BAC
2013-12-19,15.66,15.79,15.6,15.75,14.973039000000002,97776100,BAC
2013-12-20,15.75,15.87,15.6,15.6,14.830439000000002,131956000,BAC
2013-12-23,15.72,15.79,15.69,15.69,14.915997,52565800,BAC
2013-12-24,15.72,15.75,15.67,15.7,14.925506,21770400,BAC
2013-12-26,15.74,15.75,15.64,15.65,14.877968,48803600,BAC
2013-12-27,15.67,15.7,15.58,15.67,14.896985,40049300,BAC
2013-12-30,15.64,15.69,15.52,15.54,14.773399,56218800,BAC
2013-12-31,15.6,15.62,15.51,15.57,14.801919,57188900,BAC
2014-01-02,15.69,16.16,15.68,16.1,15.305775,148709900,BAC
2014-01-03,16.27,16.5,16.23,16.41,15.600482000000001,129921800,BAC
2014-01-06,16.629998999999998,16.73,16.559998999999998,16.66,15.838146,114431300,BAC
2014-01-07,16.77,16.790001,16.450001,16.5,15.686041000000001,110605100,BAC
2014-01-08,16.67,16.690001000000002,16.52,16.58,15.762094,101036400,BAC
2014-01-09,16.67,16.93,16.610001,16.83,15.999761999999999,100947200,BAC
2014-01-10,16.75,16.790001,16.610001,16.77,15.942720999999999,87454100,BAC
2014-01-13,16.790001,16.799999,16.4,16.43,15.619494,90025400,BAC
2014-01-14,16.540001,16.77,16.530001000000002,16.77,15.942720999999999,97786600,BAC
2014-01-15,17.23,17.42,17.110001,17.15,16.303978,329333100,BAC
2014-01-16,17.09,17.139999,16.99,17.08,16.237429000000002,163613100,BAC
2014-01-17,17.200001,17.219998999999998,16.99,17.01,16.170883,96232200,BAC
2014-01-21,17.08,17.16,16.870001000000002,17.01,16.170883,118269200,BAC
2014-01-22,17.08,17.15,17.0,17.15,16.303978,68114400,BAC
2014-01-23,17.07,17.09,16.74,16.860001,16.02828,123765900,BAC
2014-01-24,16.67,16.719998999999998,16.450001,16.450001,15.638506,112899300,BAC
2014-01-27,16.370001000000002,16.540001,16.059998999999998,16.309998999999998,15.505413,134872600,BAC
2014-01-28,16.450001,16.76,16.370001000000002,16.73,15.904693,92891300,BAC
2014-01-29,16.549999,16.85,16.49,16.68,15.857161999999999,130026900,BAC
2014-01-30,16.809998999999998,16.99,16.77,16.93,16.094828,91028200,BAC
2014-01-31,16.719998999999998,16.98,16.610001,16.75,15.923708999999999,139432100,BAC
2014-02-03,16.77,16.879998999999998,16.299999,16.35,15.543441,159981200,BAC
2014-02-04,16.49,16.559998999999998,16.26,16.35,15.543441,125337000,BAC
2014-02-05,16.309998999999998,16.450001,16.15,16.4,15.590974,110576200,BAC
2014-02-06,16.450001,16.73,16.440001000000002,16.690001000000002,15.866669,110029100,BAC
2014-02-07,16.82,16.879998999999998,16.629998999999998,16.82,15.990253,122571100,BAC
2014-02-10,16.709999,16.73,16.6,16.719998999999998,15.895188000000001,95792500,BAC
2014-02-11,16.73,16.92,16.639999,16.879998999999998,16.047295000000002,92617500,BAC
2014-02-12,16.870001000000002,16.91,16.65,16.75,15.923708999999999,96948900,BAC
2014-02-13,16.65,16.82,16.629998999999998,16.75,15.923708999999999,95756900,BAC
2014-02-14,16.74,16.76,16.65,16.700001,15.876179999999998,100684300,BAC
2014-02-18,16.700001,16.74,16.469998999999998,16.469998999999998,15.657520000000002,121778600,BAC
2014-02-19,16.379998999999998,16.450001,16.18,16.200001,15.400841,137734500,BAC
2014-02-20,16.219998999999998,16.360001,16.18,16.299999,15.495906,107425900,BAC
2014-02-21,16.290001,16.49,16.25,16.290001,15.486403,106236900,BAC
2014-02-24,16.299999,16.629998999999998,16.299999,16.530001000000002,15.714560999999998,102909600,BAC
2014-02-25,16.5,16.559998999999998,16.32,16.34,15.533929999999998,81457000,BAC
2014-02-26,16.360001,16.4,16.129998999999998,16.33,15.524429000000001,89831600,BAC
2014-02-27,16.27,16.49,16.209999,16.49,15.676535000000001,71314500,BAC
2014-02-28,16.49,16.65,16.35,16.530001000000002,15.714560999999998,126252100,BAC
2014-03-03,16.299999,16.41,16.190001000000002,16.299999,15.495906,87526800,BAC
2014-03-04,16.48,16.74,16.43,16.73,15.904693,100849900,BAC
2014-03-05,16.790001,17.309998999999998,16.780001000000002,17.25,16.408854,207180000,BAC
2014-03-06,17.42,17.629998999999998,17.309998999999998,17.35,16.503971,138078900,BAC
2014-03-07,17.540001,17.59,17.25,17.33,16.484951000000002,109547100,BAC
2014-03-10,17.27,17.469998999999998,17.25,17.469998999999998,16.618122,81732700,BAC
2014-03-11,17.51,17.52,17.25,17.27,16.427874,90183400,BAC
2014-03-12,17.18,17.33,17.07,17.280001000000002,16.437386,83309200,BAC
2014-03-13,17.34,17.469998999999998,17.07,17.16,16.323235999999998,100875700,BAC
2014-03-14,17.08,17.219998999999998,16.76,16.799999,15.980792999999998,131297200,BAC
2014-03-17,16.98,17.17,16.969998999999998,17.110001,16.275676999999998,79942200,BAC
2014-03-18,17.139999,17.219998999999998,17.07,17.190001000000002,16.351776,67402400,BAC
2014-03-19,17.16,17.49,17.120001000000002,17.440001000000002,16.589584,105006500,BAC
2014-03-20,17.440001000000002,18.0,17.43,17.92,17.046179000000002,167048700,BAC
2014-03-21,18.030001000000002,18.030001000000002,17.559998999999998,17.559998999999998,16.703732000000002,155721000,BAC
2014-03-24,17.620001000000002,17.65,17.299999,17.370001000000002,16.522999,118500000,BAC
2014-03-25,17.49,17.58,17.200001,17.209999,16.370804,98348600,BAC
