Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,0.038,0.038,0.038,0.038,0.038,0.0,BHF
2012-12-07,0.039,0.039,0.039,0.039,0.039,0.0,BHF
2012-12-10,0.039,0.039,0.039,0.039,0.039,0.0,BHF
2012-12-11,0.039,0.039,0.039,0.039,0.039,0.0,BHF
2012-12-12,0.031,0.031,0.031,0.031,0.031,0.0,BHF
2012-12-13,0.043,0.043,0.043,0.043,0.043,0.0,BHF
2012-12-14,0.027,0.027,0.027,0.027,0.027,0.0,BHF
2012-12-17,0.019,0.019,0.019,0.019,0.019,0.0,BHF
2012-12-18,0.023,0.023,0.023,0.023,0.023,0.0,BHF
2012-12-19,0.038,0.038,0.038,0.038,0.038,0.0,BHF
2012-12-20,0.023,0.023,0.023,0.023,0.023,0.0,BHF
2012-12-21,0.025,0.025,0.025,0.025,0.025,0.0,BHF
2012-12-24,0.025,0.025,0.025,0.025,0.025,0.0,BHF
2012-12-26,0.025,0.025,0.025,0.025,0.025,0.0,BHF
2012-12-27,0.026,0.026,0.026,0.026,0.026,0.0,BHF
2012-12-28,0.026,0.026,0.026,0.026,0.026,0.0,BHF
2012-12-31,0.026,0.026,0.026,0.026,0.026,0.0,BHF
2013-01-02,0.026,0.034,0.026,0.034,0.034,0.0,BHF
2013-01-03,0.027,0.027,0.027,0.027,0.027,0.0,BHF
2013-01-04,0.027,0.027,0.027,0.027,0.027,0.0,BHF
2013-01-07,0.027,0.027,0.027,0.027,0.027,0.0,BHF
2013-01-08,0.027,0.027,0.027,0.027,0.027,0.0,BHF
2013-01-09,0.027,0.027,0.027,0.027,0.027,0.0,BHF
2013-01-10,0.023,0.023,0.023,0.023,0.023,2000.0,BHF
2013-01-11,0.027,0.027,0.027,0.027,0.027,0.0,BHF
2013-01-14,0.026,0.026,0.026,0.026,0.026,0.0,BHF
2013-01-15,0.03,0.03,0.03,0.03,0.03,0.0,BHF
2013-01-16,0.03,0.03,0.03,0.03,0.03,0.0,BHF
2013-01-17,0.026,0.026,0.026,0.026,0.026,0.0,BHF
2013-01-18,0.022,0.022,0.022,0.022,0.022,0.0,BHF
2013-01-22,0.026,0.026,0.026,0.026,0.026,0.0,BHF
2013-01-23,0.026,0.026,0.026,0.026,0.026,0.0,BHF
