Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,5.59,5.63,5.55,5.59,5.59,16045000,BSX
2012-12-07,5.62,5.63,5.46,5.6,5.6,18709900,BSX
2012-12-10,5.56,5.73,5.53,5.71,5.71,15155600,BSX
2012-12-11,5.72,5.74,5.64,5.74,5.74,11048800,BSX
2012-12-12,5.78,5.78,5.66,5.67,5.67,10507400,BSX
2012-12-13,5.69,5.72,5.61,5.63,5.63,11732800,BSX
2012-12-14,5.75,5.77,5.6,5.67,5.67,10160700,BSX
2012-12-17,5.67,5.75,5.63,5.74,5.74,10216900,BSX
2012-12-18,5.76,5.8,5.71,5.79,5.79,10967100,BSX
2012-12-19,5.79,5.8,5.72,5.74,5.74,7773800,BSX
2012-12-20,5.76,5.84,5.73,5.81,5.81,8219500,BSX
2012-12-21,5.77,5.82,5.7,5.82,5.82,16953100,BSX
2012-12-24,5.8,5.81,5.73,5.78,5.78,4115300,BSX
2012-12-26,5.78,5.78,5.66,5.7,5.7,7938400,BSX
2012-12-27,5.69,5.73,5.57,5.7,5.7,8082300,BSX
2012-12-28,5.66,5.68,5.56,5.58,5.58,5937800,BSX
2012-12-31,5.57,5.76,5.53,5.73,5.73,10146300,BSX
2013-01-02,5.86,5.9,5.76,5.89,5.89,12050300,BSX
2013-01-03,5.92,5.99,5.81,5.95,5.95,12251000,BSX
2013-01-04,5.95,6.01,5.86,5.92,5.92,15409900,BSX
2013-01-07,5.92,6.07,5.92,5.98,5.98,24078600,BSX
2013-01-08,6.0,6.2,5.99,6.12,6.12,27219300,BSX
2013-01-09,6.15,6.32,6.06,6.28,6.28,24853100,BSX
2013-01-10,6.34,6.34,6.17,6.3,6.3,17988500,BSX
2013-01-11,6.32,6.38,6.25,6.36,6.36,10968200,BSX
2013-01-14,6.33,6.44,6.28,6.32,6.32,10774700,BSX
2013-01-15,6.38,6.57,6.36,6.51,6.51,34951500,BSX
2013-01-16,6.5,6.51,6.4,6.45,6.45,15030500,BSX
2013-01-17,6.47,6.66,6.46,6.61,6.61,21646200,BSX
2013-01-18,6.63,6.71,6.56,6.7,6.7,25675800,BSX
2013-01-22,6.7,6.88,6.65,6.86,6.86,23912600,BSX
2013-01-23,6.86,6.89,6.73,6.86,6.86,23513000,BSX
2013-01-24,6.84,6.93,6.72,6.84,6.84,30283600,BSX
2013-01-25,6.88,6.91,6.79,6.86,6.86,21277100,BSX
2013-01-28,6.86,6.92,6.79,6.86,6.86,23663700,BSX
2013-01-29,7.25,7.43,7.05,7.1,7.1,70430400,BSX
2013-01-30,7.12,7.38,7.1,7.31,7.31,44079300,BSX
2013-01-31,7.33,7.53,7.27,7.47,7.47,35790200,BSX
2013-02-01,7.51,7.68,7.48,7.64,7.64,34982600,BSX
2013-02-04,7.59,7.59,7.43,7.45,7.45,27813000,BSX
2013-02-05,7.51,7.72,7.49,7.67,7.67,31186800,BSX
2013-02-06,7.65,7.69,7.53,7.66,7.66,30719000,BSX
2013-02-07,7.67,7.71,7.59,7.64,7.64,22255200,BSX
2013-02-08,7.64,7.73,7.58,7.7,7.7,16664100,BSX
2013-02-11,7.7,7.72,7.59,7.63,7.63,25170900,BSX
2013-02-12,7.67,7.73,7.53,7.59,7.59,29098700,BSX
2013-02-13,7.6,7.62,7.31,7.45,7.45,34767800,BSX
2013-02-14,7.4,7.62,7.36,7.53,7.53,24557500,BSX
2013-02-15,7.51,7.56,7.44,7.54,7.54,17838800,BSX
2013-02-19,7.49,7.53,7.36,7.5,7.5,20657400,BSX
2013-02-20,7.48,7.54,7.28,7.29,7.29,23769300,BSX
2013-02-21,7.26,7.35,7.17,7.26,7.26,21821100,BSX
2013-02-22,7.27,7.4,7.22,7.37,7.37,16170300,BSX
2013-02-25,7.4,7.47,7.22,7.23,7.23,14461200,BSX
2013-02-26,7.24,7.34,7.18,7.31,7.31,19867900,BSX
2013-02-27,7.27,7.4,7.17,7.33,7.33,18302500,BSX
2013-02-28,7.31,7.45,7.29,7.39,7.39,16258300,BSX
2013-03-01,7.35,7.43,7.26,7.37,7.37,15922900,BSX
2013-03-04,7.37,7.4,7.24,7.36,7.36,16031400,BSX
2013-03-05,7.4,7.44,7.28,7.38,7.38,15437500,BSX
2013-03-06,7.43,7.62,7.35,7.52,7.52,25952900,BSX
2013-03-07,7.53,7.6,7.42,7.43,7.43,11564600,BSX
2013-03-08,7.45,7.57,7.41,7.49,7.49,11780900,BSX
2013-03-11,7.47,7.52,7.33,7.5,7.5,13266900,BSX
2013-03-12,7.48,7.65,7.46,7.59,7.59,19515100,BSX
2013-03-13,7.58,7.58,7.45,7.53,7.53,7493500,BSX
2013-03-14,7.58,7.58,7.48,7.52,7.52,8533700,BSX
2013-03-15,7.48,7.49,7.36,7.39,7.39,13345300,BSX
2013-03-18,7.3,7.39,7.3,7.32,7.32,9509900,BSX
2013-03-19,7.35,7.43,7.24,7.27,7.27,11274200,BSX
2013-03-20,7.31,7.52,7.3,7.45,7.45,14122300,BSX
2013-03-21,7.41,7.49,7.35,7.37,7.37,15274100,BSX
2013-03-22,7.38,7.48,7.35,7.4,7.4,10343400,BSX
2013-03-25,7.42,7.43,7.29,7.32,7.32,11806300,BSX
2013-03-26,7.32,7.46,7.28,7.44,7.44,14321900,BSX
2013-03-27,7.38,7.72,7.31,7.65,7.65,43986800,BSX
2013-03-28,7.65,7.85,7.6,7.81,7.81,49193600,BSX
2013-04-01,7.83,7.86,7.72,7.8,7.8,29655600,BSX
2013-04-02,7.83,7.95,7.8,7.89,7.89,14036700,BSX
2013-04-03,7.79,7.85,7.69,7.75,7.75,19796800,BSX
2013-04-04,7.77,7.94,7.72,7.92,7.92,19237100,BSX
2013-04-05,7.82,7.91,7.77,7.86,7.86,15631000,BSX
2013-04-08,7.83,7.87,7.74,7.81,7.81,20338600,BSX
2013-04-09,7.84,7.88,7.79,7.82,7.82,13054300,BSX
2013-04-10,7.83,7.87,7.78,7.79,7.79,13607000,BSX
2013-04-11,7.82,7.91,7.65,7.67,7.67,22500500,BSX
2013-04-12,7.68,7.76,7.61,7.66,7.66,29404000,BSX
2013-04-15,7.63,7.69,7.46,7.47,7.47,14095800,BSX
2013-04-16,7.5,7.54,7.28,7.43,7.43,20330800,BSX
2013-04-17,7.36,7.4,7.18,7.28,7.28,18504600,BSX
2013-04-18,7.27,7.29,7.07,7.09,7.09,17823100,BSX
2013-04-19,7.18,7.31,7.13,7.27,7.27,17330500,BSX
2013-04-22,7.26,7.32,7.19,7.27,7.27,9739000,BSX
