Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,105.489998,106.5,105.290001,106.449997,87.652817,7392300,CVX
2012-12-07,106.730003,107.0,106.139999,106.989998,88.09745,4947300,CVX
2012-12-10,107.099998,107.690002,106.470001,106.959999,88.072777,5512100,CVX
2012-12-11,107.290001,108.230003,107.150002,107.739998,88.715027,5922700,CVX
2012-12-12,108.16999799999999,109.18,107.93,108.08000200000001,88.995003,5968200,CVX
2012-12-13,108.540001,108.540001,107.459999,107.910004,88.855011,4909800,CVX
2012-12-14,107.610001,108.389999,107.400002,107.82,88.780907,5889300,CVX
2012-12-17,107.970001,108.839996,107.940002,108.68,89.489037,6097100,CVX
2012-12-18,108.540001,110.400002,108.32,110.099998,90.658287,7102700,CVX
2012-12-19,110.470001,111.110001,109.889999,109.910004,90.501846,7623200,CVX
2012-12-20,110.0,110.66999799999999,109.650002,110.379997,90.888847,5873900,CVX
2012-12-21,109.57,110.300003,108.559998,109.709999,90.337158,15611700,CVX
2012-12-24,109.300003,109.389999,108.480003,108.629997,89.447861,2284400,CVX
2012-12-26,109.099998,109.269997,108.209999,108.459999,89.307907,4094300,CVX
2012-12-27,108.459999,108.860001,107.269997,108.519997,89.35730699999999,5525700,CVX
2012-12-28,107.68,107.779999,106.300003,106.449997,87.652817,5277100,CVX
2012-12-31,105.75,108.230003,105.75,108.139999,89.044411,6554000,CVX
2013-01-02,110.269997,110.41999799999999,108.739998,110.389999,90.897087,6144100,CVX
2013-01-03,110.139999,110.91999799999999,109.510002,109.91999799999999,90.510094,6817000,CVX
2013-01-04,109.989998,110.620003,109.900002,110.5,90.98764,4414500,CVX
2013-01-07,110.019997,110.089996,109.190002,109.75,90.370087,4861000,CVX
2013-01-08,109.480003,109.690002,109.099998,109.260002,89.966614,6325400,CVX
2013-01-09,109.720001,110.08000200000001,109.199997,109.540001,90.197182,4558600,CVX
2013-01-10,110.190002,110.760002,110.089996,110.470001,90.962936,5276400,CVX
2013-01-11,111.199997,112.08000200000001,110.800003,111.730003,92.000473,5456300,CVX
2013-01-14,111.379997,112.949997,111.349998,112.849998,92.922676,6373900,CVX
2013-01-15,112.260002,113.470001,112.150002,113.440002,93.408524,5637600,CVX
2013-01-16,113.309998,114.33000200000001,113.16999799999999,113.970001,93.84491700000001,6148500,CVX
2013-01-17,114.730003,115.860001,114.589996,114.739998,94.47895799999999,6966000,CVX
2013-01-18,115.230003,115.239998,114.059998,115.239998,94.89064,8538000,CVX
2013-01-22,115.110001,115.940002,114.529999,115.910004,95.44236,5398000,CVX
2013-01-23,115.349998,115.900002,114.93,115.010002,94.701279,5031800,CVX
2013-01-24,115.489998,116.370003,115.279999,115.5,95.10476700000001,4895800,CVX
2013-01-25,115.519997,116.379997,115.150002,116.199997,95.68113699999999,4745400,CVX
2013-01-28,116.559998,116.58000200000001,115.410004,116.040001,95.5494,4520500,CVX
2013-01-29,116.279999,117.400002,116.25,117.209999,96.512787,4370100,CVX
2013-01-30,117.07,117.5,116.260002,116.449997,95.886986,5168200,CVX
2013-01-31,116.220001,116.900002,115.150002,115.150002,94.816574,7777900,CVX
2013-02-01,115.839996,116.690002,115.050003,116.5,95.928185,6415900,CVX
2013-02-04,115.019997,115.889999,114.290001,115.199997,94.85773499999999,6397600,CVX
2013-02-05,115.739998,116.379997,115.510002,115.809998,95.360001,5067800,CVX
2013-02-06,115.43,115.91999799999999,114.849998,115.910004,95.44236,4459800,CVX
2013-02-07,115.989998,116.0,114.33000200000001,115.019997,94.709496,5423900,CVX
2013-02-08,114.93,115.779999,114.900002,115.639999,95.220016,4457200,CVX
2013-02-11,115.68,115.839996,115.010002,115.639999,95.220016,3766300,CVX
2013-02-12,115.720001,116.839996,115.510002,116.5,95.928185,4530600,CVX
2013-02-13,115.43,115.839996,114.910004,115.529999,95.870079,4111000,CVX
2013-02-14,115.160004,116.260002,115.07,115.709999,96.01945500000001,5226400,CVX
2013-02-15,115.5,115.699997,114.029999,114.959999,95.397095,6353200,CVX
2013-02-19,115.190002,116.260002,115.190002,115.91999799999999,96.193726,5023300,CVX
2013-02-20,115.93,116.099998,114.839996,114.989998,95.421982,5447000,CVX
2013-02-21,114.790001,115.300003,114.089996,114.989998,95.421982,4795100,CVX
2013-02-22,115.510002,116.230003,114.82,115.959999,96.22689799999999,5207200,CVX
2013-02-25,116.5,117.339996,113.5,113.540001,94.218727,7522800,CVX
2013-02-26,114.470001,115.16999799999999,113.75,114.959999,95.397095,6113100,CVX
2013-02-27,114.709999,116.949997,114.709999,116.650002,96.79946899999999,4540600,CVX
2013-02-28,116.57,117.889999,116.349998,117.150002,97.214401,5953600,CVX
2013-03-01,116.730003,117.239998,115.949997,116.900002,97.006943,5570300,CVX
2013-03-04,116.779999,117.809998,116.08000200000001,117.489998,97.49652900000001,5046700,CVX
2013-03-05,117.970001,118.25,117.66999799999999,117.93,97.861671,6356000,CVX
2013-03-06,118.300003,118.779999,118.029999,118.470001,98.309784,5362200,CVX
2013-03-07,118.620003,118.889999,118.209999,118.559998,98.38445300000001,4378700,CVX
2013-03-08,118.949997,119.110001,117.989998,118.57,98.39275400000001,4992000,CVX
2013-03-11,118.629997,118.800003,118.099998,118.730003,98.52552800000001,4528400,CVX
2013-03-12,118.879997,119.300003,118.160004,118.25,98.127213,4625000,CVX
2013-03-13,118.379997,118.699997,118.059998,118.360001,98.218498,5393300,CVX
2013-03-14,118.730003,120.260002,118.599998,120.0,99.579414,7476700,CVX
2013-03-15,119.589996,119.91999799999999,118.910004,119.68,99.313866,10215600,CVX
2013-03-18,118.779999,119.900002,118.699997,119.129997,98.85746800000001,4828700,CVX
2013-03-19,119.389999,119.809998,118.650002,119.459999,99.13131700000001,5244200,CVX
2013-03-20,119.980003,120.879997,119.860001,120.349998,99.869865,5945300,CVX
2013-03-21,120.0,120.989998,119.809998,120.339996,99.861565,6168500,CVX
2013-03-22,120.660004,121.400002,120.480003,121.18,100.55860899999999,5190700,CVX
2013-03-25,121.5,121.559998,119.559998,120.18,99.72879,6345300,CVX
2013-03-26,120.739998,121.129997,120.32,120.980003,100.39265400000001,4256400,CVX
2013-03-27,120.5,120.709999,119.699997,120.190002,99.737083,4329600,CVX
2013-03-28,120.440002,120.730003,118.760002,118.82,98.60022,8280100,CVX
2013-04-01,118.989998,119.860001,118.760002,119.610001,99.255783,4322200,CVX
2013-04-02,119.839996,119.949997,118.660004,119.0,98.749573,4813900,CVX
2013-04-03,119.18,119.25,117.349998,117.779999,97.737183,7175000,CVX
2013-04-04,117.93,118.68,117.16999799999999,118.07,97.97784399999999,5409700,CVX
2013-04-05,116.639999,117.639999,116.16999799999999,117.519997,97.521423,5029900,CVX
2013-04-08,117.449997,117.870003,116.650002,117.809998,97.76209300000001,4117400,CVX
2013-04-09,117.989998,118.870003,117.629997,118.639999,98.45084399999999,4849700,CVX
2013-04-10,118.889999,119.83000200000001,118.510002,119.639999,99.28067,5452000,CVX
2013-04-11,119.959999,121.150002,119.519997,120.949997,100.367752,6092300,CVX
2013-04-12,120.459999,120.900002,119.5,119.940002,99.529625,6391700,CVX
2013-04-15,118.809998,118.900002,116.5,116.57,96.733109,9766800,CVX
2013-04-16,117.339996,117.5,116.209999,117.010002,97.098244,6511400,CVX
2013-04-17,116.400002,116.400002,114.120003,114.809998,95.27260600000001,8291200,CVX
2013-04-18,114.879997,116.120003,114.599998,115.589996,95.919876,6451600,CVX
2013-04-19,116.360001,116.949997,115.83000200000001,115.900002,96.177109,7573200,CVX
2013-04-22,116.389999,117.099998,115.889999,116.57,96.733109,5435700,CVX
2013-04-23,116.989998,118.089996,115.900002,117.480003,97.488235,6745200,CVX
2013-04-24,118.040001,118.68,117.980003,118.279999,98.15211500000001,4559000,CVX
2013-04-25,119.07,120.0,118.300003,118.510002,98.342972,5602800,CVX
2013-04-26,119.0,120.410004,118.68,120.040001,99.612617,6012200,CVX
2013-04-29,120.440002,121.599998,120.040001,121.32,100.674797,5158500,CVX
2013-04-30,121.050003,122.010002,120.120003,122.010002,101.24736800000001,6907400,CVX
2013-05-01,121.25,121.57,120.050003,120.269997,99.803474,6082100,CVX
2013-05-02,121.0,122.33000200000001,120.629997,122.040001,101.272263,5066100,CVX
2013-05-03,122.690002,123.910004,122.459999,123.489998,102.47551700000001,6384300,CVX
2013-05-06,123.32,123.779999,122.709999,123.25,102.27636,4668700,CVX
2013-05-07,123.349998,123.720001,122.540001,123.040001,102.102097,4412600,CVX
2013-05-08,122.980003,123.599998,122.849998,123.360001,102.36763,4479800,CVX
2013-05-09,123.459999,123.949997,122.959999,123.639999,102.599998,9237500,CVX
2013-05-10,123.379997,123.709999,122.110001,123.230003,102.259773,10581700,CVX
2013-05-13,122.900002,123.099998,122.16999799999999,122.849998,101.944412,16870100,CVX
