Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,8.52,8.55,8.34,8.37,8.37,3031300,ETFC
2012-12-07,8.41,8.43,8.29,8.38,8.38,2933600,ETFC
2012-12-10,8.36,8.41,8.28,8.31,8.31,2487300,ETFC
2012-12-11,8.4,8.44,8.3,8.32,8.32,3561100,ETFC
2012-12-12,8.36,8.4,8.19,8.25,8.25,11324600,ETFC
2012-12-13,8.25,8.41,8.25,8.27,8.27,3882300,ETFC
2012-12-14,8.27,8.37,8.22,8.32,8.32,2858600,ETFC
2012-12-17,8.4,8.63,8.32,8.58,8.58,4890800,ETFC
2012-12-18,8.57,8.8,8.53,8.78,8.78,4761000,ETFC
2012-12-19,8.82,8.86,8.66,8.78,8.78,3471100,ETFC
2012-12-20,8.8,8.9,8.72,8.89,8.89,2996700,ETFC
2012-12-21,8.7,8.85,8.45,8.83,8.83,3953000,ETFC
2012-12-24,8.77,8.8,8.67,8.67,8.67,863100,ETFC
2012-12-26,8.75,8.88,8.64,8.66,8.66,2412200,ETFC
2012-12-27,8.66,8.76,8.56,8.73,8.73,2469600,ETFC
2012-12-28,8.66,8.79,8.6,8.76,8.76,1847800,ETFC
2012-12-31,8.71,8.96,8.68,8.95,8.95,3869800,ETFC
2013-01-02,9.17,9.28,9.06,9.19,9.19,4360500,ETFC
2013-01-03,9.18,9.27,9.12,9.19,9.19,2658500,ETFC
2013-01-04,9.19,9.47,9.18,9.39,9.39,7085500,ETFC
2013-01-07,9.34,9.4,9.29,9.35,9.35,2438900,ETFC
2013-01-08,9.29,9.31,9.09,9.26,9.26,4257500,ETFC
2013-01-09,9.31,9.39,9.18,9.37,9.37,2729500,ETFC
2013-01-10,9.43,9.71,9.37,9.55,9.55,7083600,ETFC
2013-01-11,9.56,9.65,9.44,9.58,9.58,3342000,ETFC
2013-01-14,9.52,9.6,9.41,9.49,9.49,2987400,ETFC
2013-01-15,9.58,9.83,9.46,9.77,9.77,5529500,ETFC
2013-01-16,9.72,9.98,9.71,9.86,9.86,8624300,ETFC
2013-01-17,9.86,10.03,9.81,9.87,9.87,5224100,ETFC
2013-01-18,9.8,10.21,9.76,10.18,10.18,5858700,ETFC
2013-01-22,10.27,10.41,10.14,10.38,10.38,5249600,ETFC
2013-01-23,10.4,10.42,10.19,10.3,10.3,7001300,ETFC
2013-01-24,10.28,10.46,10.14,10.27,10.27,9031600,ETFC
2013-01-25,10.0,10.36,9.87,10.33,10.33,11719500,ETFC
2013-01-28,10.34,10.64,10.3,10.6,10.6,6243800,ETFC
2013-01-29,10.63,10.7,10.42,10.56,10.56,6755500,ETFC
2013-01-30,10.52,10.61,10.4,10.47,10.47,4454400,ETFC
2013-01-31,10.48,10.62,10.3,10.6,10.6,4770000,ETFC
2013-02-01,10.69,10.95,10.68,10.8,10.8,6830000,ETFC
2013-02-04,10.75,10.88,10.62,10.8,10.8,5769000,ETFC
2013-02-05,10.95,10.96,10.82,10.91,10.91,3774400,ETFC
2013-02-06,10.83,11.0,10.83,10.92,10.92,3631500,ETFC
2013-02-07,10.89,11.0,10.68,10.99,10.99,6320000,ETFC
2013-02-08,11.0,11.04,10.9,11.02,11.02,3661000,ETFC
2013-02-11,11.02,11.1,10.96,11.06,11.06,2299500,ETFC
2013-02-12,11.05,11.31,11.04,11.31,11.31,3566900,ETFC
2013-02-13,11.38,11.38,11.18,11.3,11.3,7328500,ETFC
2013-02-14,11.21,11.43,11.18,11.42,11.42,5335300,ETFC
2013-02-15,11.36,11.45,11.18,11.22,11.22,2938600,ETFC
2013-02-19,11.27,11.39,11.22,11.29,11.29,2897000,ETFC
2013-02-20,11.28,11.35,11.03,11.12,11.12,3982900,ETFC
2013-02-21,11.06,11.08,10.74,10.78,10.78,3957500,ETFC
2013-02-22,10.69,10.85,10.66,10.84,10.84,4521900,ETFC
2013-02-25,10.94,11.03,10.59,10.64,10.64,4261300,ETFC
2013-02-26,10.67,10.74,10.46,10.55,10.55,4174000,ETFC
2013-02-27,10.57,10.78,10.56,10.72,10.72,2640600,ETFC
2013-02-28,10.72,10.82,10.54,10.71,10.71,4614700,ETFC
2013-03-01,10.64,10.72,10.46,10.63,10.63,2354700,ETFC
2013-03-04,10.58,10.82,10.57,10.79,10.79,2398400,ETFC
2013-03-05,10.86,11.03,10.84,10.89,10.89,1629300,ETFC
2013-03-06,10.93,11.05,10.86,11.0,11.0,3092500,ETFC
2013-03-07,11.04,11.32,10.94,11.31,11.31,4275300,ETFC
2013-03-08,11.33,11.4,11.21,11.3,11.3,2607700,ETFC
2013-03-11,11.28,11.45,11.22,11.37,11.37,1997300,ETFC
2013-03-12,11.33,11.44,11.25,11.4,11.4,2546200,ETFC
2013-03-13,11.4,11.82,11.36,11.82,11.82,6988400,ETFC
2013-03-14,10.99,11.22,10.75,10.85,10.85,52013200,ETFC
2013-03-15,10.88,10.92,10.63,10.66,10.66,13203300,ETFC
2013-03-18,10.6,10.7,10.45,10.5,10.5,10032700,ETFC
2013-03-19,10.51,10.7,10.34,10.44,10.44,11561000,ETFC
2013-03-20,10.55,10.86,10.53,10.79,10.79,7939900,ETFC
2013-03-21,10.76,10.85,10.6,10.64,10.64,8073300,ETFC
2013-03-22,10.7,10.8,10.65,10.66,10.66,9097200,ETFC
2013-03-25,10.75,10.82,10.49,10.56,10.56,3734600,ETFC
2013-03-26,10.62,10.68,10.52,10.61,10.61,3128600,ETFC
2013-03-27,10.52,10.66,10.36,10.65,10.65,4301100,ETFC
2013-03-28,10.62,10.72,10.57,10.71,10.71,2778200,ETFC
2013-04-01,10.79,10.79,10.37,10.39,10.39,3903300,ETFC
2013-04-02,10.47,10.53,10.33,10.37,10.37,2766400,ETFC
2013-04-03,10.32,10.36,10.15,10.21,10.21,4377700,ETFC
2013-04-04,10.18,10.32,10.06,10.11,10.11,3767500,ETFC
2013-04-05,9.98,10.01,9.87,9.95,9.95,4110700,ETFC
2013-04-08,9.91,10.13,9.86,10.13,10.13,4550400,ETFC
2013-04-09,10.16,10.28,10.06,10.18,10.18,3010800,ETFC
2013-04-10,10.24,10.42,10.19,10.3,10.3,2725200,ETFC
2013-04-11,10.35,10.47,10.27,10.39,10.39,3896600,ETFC
2013-04-12,10.3,10.4,10.15,10.17,10.17,2101900,ETFC
2013-04-15,10.1,10.17,9.68,9.75,9.75,5493000,ETFC
2013-04-16,9.82,9.99,9.68,9.72,9.72,4823800,ETFC
2013-04-17,9.6,9.81,9.52,9.71,9.71,6804900,ETFC
2013-04-18,9.72,9.77,9.54,9.54,9.54,4036500,ETFC
2013-04-19,9.69,9.88,9.56,9.83,9.83,9656300,ETFC
2013-04-22,9.81,9.84,9.72,9.75,9.75,3779600,ETFC
2013-04-23,9.84,10.0,9.78,9.95,9.95,4561600,ETFC
2013-04-24,9.95,10.18,9.92,10.18,10.18,3390300,ETFC
2013-04-25,10.25,10.41,10.12,10.27,10.27,3440900,ETFC
2013-04-26,10.23,10.27,10.13,10.2,10.2,2722600,ETFC
2013-04-29,10.23,10.36,10.19,10.31,10.31,2895800,ETFC
2013-04-30,10.33,10.36,10.18,10.29,10.29,2889200,ETFC
2013-05-01,10.31,10.32,10.02,10.08,10.08,2921200,ETFC
2013-05-02,10.12,10.46,10.05,10.43,10.43,3452900,ETFC
2013-05-03,10.53,10.96,10.52,10.85,10.85,5863300,ETFC
2013-05-06,10.83,10.96,10.78,10.86,10.86,3614600,ETFC
2013-05-07,10.9,10.98,10.72,10.91,10.91,3080000,ETFC
2013-05-08,10.89,10.96,10.82,10.89,10.89,4698700,ETFC
2013-05-09,10.87,11.04,10.82,10.89,10.89,4620200,ETFC
2013-05-10,10.88,11.19,10.74,11.16,11.16,5498200,ETFC
2013-05-13,11.13,11.23,11.08,11.19,11.19,2039000,ETFC
2013-05-14,11.23,11.56,11.14,11.52,11.52,5631700,ETFC
2013-05-15,11.32,11.42,11.17,11.34,11.34,4779900,ETFC
2013-05-16,11.24,11.4,11.12,11.32,11.32,4056800,ETFC
2013-05-17,11.37,11.55,11.36,11.53,11.53,4913300,ETFC
2013-05-20,11.47,11.68,11.44,11.52,11.52,4314800,ETFC
2013-05-21,11.5,11.6,11.44,11.47,11.47,2283600,ETFC
2013-05-22,11.5,11.8,11.27,11.32,11.32,5868800,ETFC
2013-05-23,11.25,11.44,11.02,11.4,11.4,3284000,ETFC
2013-05-24,11.37,11.47,11.25,11.31,11.31,1854600,ETFC
2013-05-28,11.45,11.86,11.45,11.76,11.76,4390400,ETFC
2013-05-29,11.66,11.88,11.61,11.75,11.75,4018700,ETFC
2013-05-30,11.76,11.99,11.68,11.8,11.8,3380800,ETFC
2013-05-31,11.75,11.93,11.62,11.62,11.62,3179000,ETFC
2013-06-03,11.67,11.81,11.37,11.58,11.58,3461200,ETFC
2013-06-04,11.6,11.74,11.3,11.46,11.46,3994900,ETFC
2013-06-05,11.43,11.45,11.1,11.1,11.1,3498600,ETFC
2013-06-06,11.14,11.39,11.1,11.39,11.39,3108800,ETFC
2013-06-07,11.5,11.76,11.44,11.76,11.76,2985700,ETFC
2013-06-10,11.78,11.88,11.66,11.87,11.87,2394000,ETFC
2013-06-11,11.72,11.87,11.48,11.53,11.53,2691200,ETFC
2013-06-12,11.64,11.73,11.45,11.5,11.5,2756600,ETFC
2013-06-13,11.46,11.69,11.41,11.68,11.68,4617400,ETFC
2013-06-14,11.69,11.7,11.28,11.44,11.44,2690100,ETFC
2013-06-17,11.54,11.97,11.51,11.9,11.9,3696300,ETFC
2013-06-18,11.94,12.18,11.87,12.09,12.09,5723500,ETFC
2013-06-19,12.09,12.29,11.98,12.05,12.05,3661100,ETFC
