Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,12.33,12.71,12.24,12.48,11.097032,10528000,GLW
2012-12-07,12.52,12.56,12.37,12.54,11.150383999999999,9532100,GLW
2012-12-10,12.5,12.7,12.46,12.63,11.230411,10185600,GLW
2012-12-11,12.67,12.7,12.54,12.6,11.203733,9951100,GLW
2012-12-12,12.63,12.85,12.59,12.73,11.319328,12867000,GLW
2012-12-13,12.76,12.9,12.69,12.74,11.328218,11309000,GLW
2012-12-14,12.77,12.78,12.52,12.62,11.221517,11541200,GLW
2012-12-17,12.59,12.73,12.54,12.65,11.248192999999999,11315900,GLW
2012-12-18,12.61,13.02,12.6,12.99,11.550514999999999,13479400,GLW
2012-12-19,12.95,13.09,12.77,12.77,11.354897,12591500,GLW
2012-12-20,12.79,12.87,12.74,12.79,11.372679,18189100,GLW
2012-12-21,12.6,12.74,12.53,12.6,11.203733,26681400,GLW
2012-12-24,12.62,12.75,12.54,12.74,11.328218,5056800,GLW
2012-12-26,12.73,12.81,12.54,12.59,11.194842,7716400,GLW
2012-12-27,12.62,12.63,12.41,12.58,11.185949,10300600,GLW
2012-12-28,12.48,12.65,12.45,12.47,11.08814,10766500,GLW
2012-12-31,12.44,12.64,12.36,12.62,11.221517,12704900,GLW
2013-01-02,12.93,13.0,12.75,12.86,11.434922,14040800,GLW
2013-01-03,12.86,13.0,12.76,12.77,11.354897,10657300,GLW
2013-01-04,12.81,12.95,12.65,12.73,11.319328,22629000,GLW
2013-01-07,12.71,12.78,12.62,12.63,11.230411,18641400,GLW
2013-01-08,12.6,12.65,12.43,12.48,11.097032,20353900,GLW
2013-01-09,12.51,12.63,12.27,12.4,11.025895,24453800,GLW
2013-01-10,12.48,12.69,12.47,12.64,11.239303,18278900,GLW
2013-01-11,12.42,12.48,12.13,12.45,11.070355000000001,24429300,GLW
2013-01-14,12.42,12.55,12.36,12.5,11.114817,9905900,GLW
2013-01-15,12.41,12.63,12.37,12.62,11.221517,10382400,GLW
2013-01-16,12.62,12.65,12.43,12.52,11.132601,9443200,GLW
2013-01-17,12.45,12.49,12.28,12.3,10.936978,16463500,GLW
2013-01-18,12.39,12.39,11.99,12.1,10.759143,19468000,GLW
2013-01-22,12.09,12.31,11.99,12.31,10.945871,14416200,GLW
2013-01-23,12.31,12.34,12.19,12.23,10.874736,11890100,GLW
2013-01-24,12.23,12.26,12.07,12.16,10.812493,15952400,GLW
2013-01-25,12.17,12.29,12.08,12.24,10.883628,16231300,GLW
2013-01-28,12.07,12.16,11.87,12.15,10.803602,32201000,GLW
2013-01-29,12.25,12.42,12.16,12.23,10.874736,24356600,GLW
2013-01-30,12.25,12.25,11.9,12.0,10.670222,22021600,GLW
2013-01-31,12.0,12.08,11.93,12.0,10.670222,25377800,GLW
2013-02-01,12.05,12.08,11.88,11.91,10.590197,17829800,GLW
2013-02-04,11.91,11.93,11.75,11.79,10.48349,21386200,GLW
2013-02-05,11.83,12.03,11.77,11.96,10.634655,29739600,GLW
2013-02-06,11.94,12.18,11.88,12.18,10.830276,13759500,GLW
2013-02-07,12.16,12.33,12.14,12.32,10.954763999999999,16207200,GLW
2013-02-08,12.35,12.48,12.11,12.28,10.919194000000001,18009700,GLW
2013-02-11,12.32,12.48,12.27,12.44,11.061463,10352600,GLW
2013-02-12,12.46,12.69,12.45,12.57,11.177058,13459500,GLW
2013-02-13,12.61,12.82,12.59,12.78,11.363788000000001,17235400,GLW
2013-02-14,12.76,12.99,12.69,12.95,11.514949,16363800,GLW
2013-02-15,12.97,12.98,12.73,12.79,11.372679,14371100,GLW
2013-02-19,12.83,12.95,12.83,12.9,11.470487,13870200,GLW
2013-02-20,12.92,12.94,12.58,12.63,11.230411,11496700,GLW
2013-02-21,12.59,12.63,12.42,12.51,11.123707000000001,13286000,GLW
2013-02-22,12.58,12.65,12.55,12.61,11.212624,6882900,GLW
2013-02-25,12.68,12.75,12.35,12.35,10.981438,12157500,GLW
2013-02-26,12.33,12.44,12.2,12.29,11.008308999999999,14351000,GLW
2013-02-27,12.29,12.61,12.25,12.59,11.277023,9535000,GLW
2013-02-28,12.6,12.75,12.57,12.61,11.294936,12497000,GLW
2013-03-01,12.47,12.54,12.31,12.52,11.214324000000001,8934900,GLW
2013-03-04,12.49,12.5,12.29,12.38,11.088923,13078800,GLW
2013-03-05,12.46,12.6,12.37,12.52,11.214324000000001,12336000,GLW
2013-03-06,12.56,12.64,12.45,12.56,11.250153,9815700,GLW
2013-03-07,12.66,12.68,12.53,12.66,11.339722,7641700,GLW
2013-03-08,12.74,12.77,12.61,12.71,11.384508,11898500,GLW
2013-03-11,12.71,12.77,12.58,12.63,11.312851,9170100,GLW
2013-03-12,12.63,12.8,12.61,12.67,11.348678999999999,9532400,GLW
2013-03-13,12.72,12.74,12.61,12.64,11.321805,8078900,GLW
2013-03-14,12.66,12.82,12.61,12.81,11.474079,9722200,GLW
2013-03-15,12.74,12.92,12.65,12.92,11.572608,18543600,GLW
2013-03-18,12.76,12.93,12.66,12.85,11.509909,17277600,GLW
2013-03-19,12.88,12.96,12.73,12.83,11.491995,14675000,GLW
2013-03-20,12.89,13.25,12.87,13.18,11.805494,19257500,GLW
2013-03-21,13.15,13.17,12.92,12.99,11.635308,12560200,GLW
2013-03-22,13.03,13.12,12.93,13.05,11.689052,9370700,GLW
2013-03-25,13.11,13.15,12.95,13.01,11.653224,11341800,GLW
