Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,8.935,9.065,8.8975,9.05,8.247607,2136400,HBI
2012-12-07,9.035,9.0975,8.87,8.9125,8.122296,3791600,HBI
2012-12-10,8.9175,9.0125,8.8875,8.94,8.147361,3119600,HBI
2012-12-11,8.965,9.0325,8.89,8.9725,8.176978,4471600,HBI
2012-12-12,9.0225,9.025,8.81,8.8225,8.040279,3554400,HBI
2012-12-13,8.8625,9.0,8.7825,8.8325,8.049389,2355200,HBI
2012-12-14,8.83,8.95,8.75,8.8775,8.090401,2740000,HBI
2012-12-17,8.89,9.0,8.89,8.9825,8.186093,1883600,HBI
2012-12-18,9.015,9.1475,8.9625,9.125,8.315956,3198400,HBI
2012-12-19,9.1125,9.1475,9.03,9.045,8.24305,2910800,HBI
2012-12-20,9.045,9.0575,8.8,8.945,8.151916,3834400,HBI
2012-12-21,8.8525,9.0075,8.795,9.0075,8.208875,8502400,HBI
2012-12-24,8.8525,9.11,8.8525,8.9725,8.176978,1740000,HBI
2012-12-26,8.96,8.975,8.725,8.7825,8.003824,2587600,HBI
2012-12-27,8.78,8.9075,8.685,8.83,8.047113000000001,2160400,HBI
2012-12-28,8.7775,8.8475,8.685,8.745,7.969649,2305200,HBI
2012-12-31,8.7025,8.98,8.695,8.955,8.161031,2671200,HBI
2013-01-02,9.11,9.1475,8.7775,8.8975,8.108628,4852800,HBI
2013-01-03,8.955,9.07,8.85,9.0425,8.240769,3943600,HBI
2013-01-04,9.075,9.28,8.9925,9.2775,8.454936,4598000,HBI
2013-01-07,9.22,9.24,9.105,9.195,8.379750999999999,3614400,HBI
2013-01-08,9.225,9.235,9.0825,9.1225,8.313678999999999,1801600,HBI
2013-01-09,9.1525,9.195,9.0875,9.0975,8.290894999999999,2593200,HBI
2013-01-10,9.125,9.135,8.8775,9.04,8.238494000000001,5382400,HBI
2013-01-11,9.0575,9.1225,9.03,9.0875,8.281783,4214800,HBI
2013-01-14,9.1225,9.3475,9.0775,9.25,8.429872999999999,4392800,HBI
2013-01-15,9.185,9.425,9.185,9.395,8.562018,2965600,HBI
2013-01-16,9.3525,9.6175,9.32,9.5725,8.723778999999999,4042800,HBI
2013-01-17,9.5775,9.62,9.4,9.5175,8.673657,2953600,HBI
2013-01-18,9.53,9.555,9.4075,9.4525,8.614417999999999,2279200,HBI
2013-01-22,9.45,9.5225,9.42,9.4825,8.641761,2846800,HBI
2013-01-23,9.4275,9.5075,9.35,9.4925,8.650872,2670400,HBI
2013-01-24,9.5225,9.5625,9.4125,9.4525,8.614417999999999,3287200,HBI
2013-01-25,9.4825,9.63,9.48,9.6175,8.764791,2851600,HBI
2013-01-28,9.6275,9.7,9.555,9.625,8.771626,3560400,HBI
2013-01-29,9.625,9.6275,9.365,9.41,8.575689,5413600,HBI
2013-01-30,9.4,9.4325,9.255,9.2825,8.459492,4820000,HBI
2013-01-31,9.28,9.4275,9.21,9.37,8.539233,5185600,HBI
2013-02-01,9.4325,9.5825,9.3425,9.435,8.598472000000001,3395200,HBI
2013-02-04,9.4075,9.5625,9.3525,9.425,8.589359,3693600,HBI
2013-02-05,9.485,9.875,9.425,9.545,8.698718,4642000,HBI
2013-02-06,9.4725,9.825,9.3125,9.815,8.944778999999999,9147600,HBI
2013-02-07,9.8525,10.07,9.825,10.045,9.154386,6898800,HBI
2013-02-08,10.03,10.185,9.9825,10.1275,9.229573,4108800,HBI
2013-02-11,10.125,10.1275,10.075,10.0975,9.202233,3323200,HBI
2013-02-12,10.1125,10.1425,10.02,10.035,9.145272,4057200,HBI
2013-02-13,10.0275,10.125,9.99,10.1025,9.206789,4732800,HBI
