Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,9.79,9.88,9.77,9.88,9.511209,6328500,LUV
2012-12-07,9.87,9.89,9.73,9.81,9.443824000000001,4993900,LUV
2012-12-10,9.75,9.92,9.7,9.84,9.472702,4429900,LUV
2012-12-11,9.88,10.2,9.85,10.12,9.742253,9535400,LUV
2012-12-12,10.13,10.17,9.96,10.02,9.645982,8867600,LUV
2012-12-13,10.03,10.23,10.0,10.14,9.761503999999999,5494600,LUV
2012-12-14,10.18,10.41,10.13,10.19,9.809639,9643300,LUV
2012-12-17,10.25,10.43,10.24,10.36,9.973292,11031800,LUV
2012-12-18,10.36,10.51,10.34,10.5,10.108068,6126500,LUV
2012-12-19,10.43,10.61,10.39,10.56,10.165828999999999,6348800,LUV
2012-12-20,10.58,10.58,10.43,10.54,10.146575,7193000,LUV
2012-12-21,10.44,10.55,10.35,10.46,10.069560000000001,9204100,LUV
2012-12-24,10.47,10.53,10.37,10.43,10.04068,1901700,LUV
2012-12-26,10.42,10.5,10.3,10.31,9.92516,3504000,LUV
2012-12-27,10.32,10.37,10.13,10.26,9.877023,4590600,LUV
2012-12-28,10.19,10.26,10.16,10.16,9.780757000000001,3419500,LUV
2012-12-31,10.13,10.25,10.1,10.24,9.857771000000001,5516300,LUV
2013-01-02,10.45,10.5,10.36,10.47,10.079186,6017300,LUV
2013-01-03,10.46,10.77,10.44,10.72,10.319855,8985900,LUV
2013-01-04,10.75,10.92,10.73,10.88,10.473886,6884900,LUV
2013-01-07,10.9,11.02,10.8,10.91,10.502761,6882100,LUV
2013-01-08,11.23,11.27,11.0,11.03,10.618284,10480100,LUV
2013-01-09,11.04,11.16,10.94,11.0,10.589402999999999,8476400,LUV
2013-01-10,11.09,11.09,10.94,11.07,10.656791,8751700,LUV
2013-01-11,11.09,11.16,11.0,11.05,10.637536,7152800,LUV
2013-01-14,11.05,11.13,11.01,11.02,10.608657000000001,8025000,LUV
2013-01-15,10.98,11.13,10.94,11.08,10.666414,11341200,LUV
2013-01-16,11.05,11.35,11.05,11.28,10.858953,13207600,LUV
2013-01-17,11.34,11.43,11.17,11.4,10.974473,8220600,LUV
2013-01-18,11.38,11.45,11.15,11.26,10.839699000000001,7322200,LUV
2013-01-22,11.28,11.6,11.19,11.48,11.051486,9391800,LUV
2013-01-23,11.57,11.59,11.31,11.36,10.935965,13770800,LUV
2013-01-24,11.47,11.62,11.38,11.45,11.022607,11076100,LUV
2013-01-25,11.46,11.55,11.42,11.44,11.01298,7626500,LUV
2013-01-28,11.54,11.54,11.37,11.43,11.003352,6107600,LUV
2013-01-29,11.35,11.42,11.2,11.33,10.907086,7657300,LUV
2013-01-30,11.36,11.4,11.23,11.24,10.820445,10916800,LUV
2013-01-31,11.22,11.38,11.21,11.21,10.791565,9692200,LUV
2013-02-01,11.29,11.45,11.22,11.23,10.810817,9820100,LUV
2013-02-04,11.22,11.38,11.15,11.18,10.762687,10977800,LUV
2013-02-05,11.28,11.36,11.22,11.27,10.849326,8317000,LUV
2013-02-06,11.21,11.5,11.21,11.47,11.041861,9347100,LUV
2013-02-07,11.47,11.65,11.41,11.61,11.176634,7944500,LUV
2013-02-08,11.6,11.73,11.53,11.64,11.205513999999999,6534900,LUV
2013-02-11,11.67,11.76,11.63,11.65,11.21514,4477600,LUV
2013-02-12,11.65,11.66,11.51,11.55,11.118875,3759900,LUV
2013-02-13,11.57,11.66,11.54,11.61,11.176634,3951400,LUV
2013-02-14,11.6,11.6,11.38,11.47,11.041861,8080800,LUV
2013-02-15,11.53,11.76,11.5,11.6,11.167009,6955400,LUV
2013-02-19,11.64,11.7,11.56,11.7,11.263275,4927900,LUV
2013-02-20,11.66,11.69,11.41,11.43,11.003352,4587300,LUV
2013-02-21,11.42,11.48,11.31,11.45,11.022607,6437000,LUV
2013-02-22,11.47,11.63,11.45,11.6,11.167009,4704100,LUV
2013-02-25,11.63,11.72,11.31,11.32,10.89746,6134500,LUV
2013-02-26,11.35,11.41,11.23,11.4,10.974473,5901800,LUV
2013-02-27,11.38,11.82,11.38,11.82,11.378795,6339200,LUV
2013-02-28,11.82,11.9,11.64,11.7,11.263275,7954800,LUV
2013-03-01,11.66,11.95,11.66,11.82,11.378795,5655900,LUV
2013-03-04,11.76,12.09,11.75,12.04,11.590584,8431800,LUV
2013-03-05,12.13,12.15,11.98,12.11,11.667661,8266100,LUV
2013-03-06,12.17,12.21,11.98,12.05,11.609853,5551800,LUV
2013-03-07,11.97,12.12,11.94,12.09,11.648392999999999,6672700,LUV
2013-03-08,12.25,12.3,12.14,12.26,11.812180999999999,6870200,LUV
2013-03-11,12.19,12.33,12.07,12.33,11.879627000000001,8168500,LUV
2013-03-12,12.34,12.46,12.29,12.34,11.889258,7609900,LUV
2013-03-13,12.35,12.53,12.35,12.45,11.995241,5646200,LUV
2013-03-14,12.46,12.55,12.37,12.55,12.091588,5133400,LUV
2013-03-15,12.52,12.55,12.36,12.38,11.927798,8393300,LUV
2013-03-18,12.29,12.6,12.14,12.56,12.101225,4583800,LUV
2013-03-19,12.6,12.69,12.49,12.64,12.178302,4167300,LUV
2013-03-20,12.68,12.84,12.62,12.79,12.322824,5591400,LUV
2013-03-21,12.72,12.9,12.72,12.76,12.293919,5902900,LUV
2013-03-22,12.79,12.93,12.61,12.87,12.399899000000001,7653400,LUV
2013-03-25,12.95,12.99,12.75,12.86,12.390266,7223700,LUV
2013-03-26,12.87,13.06,12.82,12.95,12.476979,9168100,LUV
2013-03-27,12.86,13.25,12.84,13.19,12.708214,8495100,LUV
2013-03-28,13.25,13.58,13.21,13.48,12.987619,11806600,LUV
2013-04-01,13.47,13.51,13.18,13.23,12.746749000000001,6334400,LUV
2013-04-02,13.19,13.22,12.62,12.68,12.216842999999999,13026100,LUV
2013-04-03,12.69,12.87,12.48,12.54,12.081956,11925200,LUV
2013-04-04,12.54,12.85,12.54,12.8,12.332458,7572300,LUV
2013-04-05,12.6,12.83,12.45,12.81,12.342092999999998,6812600,LUV
2013-04-08,12.83,12.95,12.64,12.93,12.457708,7278800,LUV
2013-04-09,12.93,13.04,12.79,12.9,12.428807,6670100,LUV
2013-04-10,12.9,13.14,12.9,13.04,12.563692,6554700,LUV
2013-04-11,13.06,13.25,13.0,13.09,12.611864,6883500,LUV
2013-04-12,13.06,13.22,13.03,13.15,12.669672,4890300,LUV
2013-04-15,13.11,13.2,12.61,12.67,12.207206,9423400,LUV
2013-04-16,12.86,13.18,12.81,13.18,12.698577,8204300,LUV
2013-04-17,13.12,13.2,12.9,13.15,12.669672,6757600,LUV
2013-04-18,13.16,13.16,12.93,12.98,12.50588,3763500,LUV
2013-04-19,13.02,13.4,12.96,13.34,12.852733,4923800,LUV
2013-04-22,13.46,13.48,13.11,13.17,12.688941999999999,7340600,LUV
2013-04-23,13.19,13.45,13.14,13.34,12.852733,7650500,LUV
2013-04-24,13.38,13.45,13.19,13.42,12.929812,7174200,LUV
2013-04-25,13.52,13.61,13.33,13.42,12.929812,8023900,LUV
2013-04-26,13.49,13.53,13.3,13.39,12.900908,5680000,LUV
2013-04-29,13.45,13.6,13.4,13.54,13.045428999999999,4950800,LUV
2013-04-30,13.55,13.77,13.48,13.7,13.199582000000001,6785000,LUV
2013-05-01,13.71,13.82,13.4,13.48,12.987619,5852700,LUV
2013-05-02,13.49,13.83,13.48,13.76,13.257392000000001,5205900,LUV
2013-05-03,13.89,14.11,13.83,14.07,13.556068,7259300,LUV
2013-05-06,14.08,14.32,14.03,14.25,13.729495000000002,4462000,LUV
2013-05-07,14.27,14.35,14.21,14.23,13.710223000000001,6205800,LUV
2013-05-08,14.27,14.49,14.23,14.33,13.806573,4831200,LUV
2013-05-09,14.37,14.42,14.06,14.09,13.575337,5131600,LUV
2013-05-10,14.11,14.27,14.1,14.16,13.642781,4964400,LUV
2013-05-13,14.15,14.17,13.94,13.95,13.440454,6762700,LUV
2013-05-14,13.98,14.11,13.96,13.98,13.469357,9985200,LUV
2013-05-15,13.98,14.47,13.98,14.34,13.816207,16864200,LUV
2013-05-16,14.37,14.49,14.03,14.14,13.623512,9277100,LUV
2013-05-17,14.35,14.45,14.3,14.38,13.854743,11499500,LUV
2013-05-20,14.38,14.55,14.13,14.25,13.729495000000002,7905400,LUV
2013-05-21,14.23,14.56,14.23,14.31,13.787304999999998,12836400,LUV
2013-05-22,14.3,14.39,13.96,14.03,13.517528,7688400,LUV
2013-05-23,13.9,14.4,13.87,14.37,13.84511,9834600,LUV
2013-05-24,14.26,14.35,14.06,14.28,13.758398999999999,7197400,LUV
2013-05-28,14.4,14.44,14.15,14.27,13.748766,7824000,LUV
2013-05-29,14.19,14.28,14.06,14.13,13.613878,7174200,LUV
2013-05-30,14.18,14.37,14.18,14.27,13.748766,7007900,LUV
2013-05-31,14.22,14.36,14.17,14.17,13.652417999999999,8734000,LUV
2013-06-03,14.18,14.28,13.84,14.0,13.526812,7664700,LUV
2013-06-04,13.99,14.2,13.8,13.92,13.449514,8438700,LUV
