Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,6.15,6.42,6.1,6.41,6.41,30376200,MU
2012-12-07,6.42,6.51,6.35,6.44,6.44,22046900,MU
2012-12-10,6.45,6.73,6.43,6.67,6.67,32458100,MU
2012-12-11,6.7,6.84,6.63,6.77,6.77,24442700,MU
2012-12-12,6.86,6.86,6.64,6.71,6.71,28353700,MU
2012-12-13,6.74,6.8,6.62,6.66,6.66,24047400,MU
2012-12-14,6.74,6.89,6.69,6.85,6.85,23368900,MU
2012-12-17,6.85,6.9,6.54,6.61,6.61,34772400,MU
2012-12-18,6.62,6.71,6.55,6.7,6.7,28810700,MU
2012-12-19,6.71,6.87,6.7,6.82,6.82,25576000,MU
2012-12-20,6.84,6.87,6.73,6.79,6.79,19997000,MU
2012-12-21,6.48,6.49,6.18,6.32,6.32,58144400,MU
2012-12-24,6.38,6.38,6.18,6.23,6.23,6840000,MU
2012-12-26,6.23,6.34,6.17,6.18,6.18,10342300,MU
2012-12-27,6.18,6.26,6.07,6.22,6.22,18455400,MU
2012-12-28,6.16,6.28,6.11,6.13,6.13,15127400,MU
2012-12-31,6.14,6.36,6.11,6.34,6.34,18787600,MU
2013-01-02,6.6,6.67,6.45,6.63,6.63,29556500,MU
2013-01-03,6.64,6.97,6.61,6.9,6.9,39091500,MU
2013-01-04,6.95,6.96,6.85,6.96,6.96,18802700,MU
2013-01-07,7.06,7.28,7.03,7.18,7.18,31133300,MU
2013-01-08,7.14,7.29,7.06,7.23,7.23,30791800,MU
2013-01-09,7.25,7.38,7.24,7.31,7.31,20647500,MU
2013-01-10,7.37,7.44,7.28,7.42,7.42,18685600,MU
2013-01-11,7.39,7.56,7.3,7.54,7.54,25837200,MU
2013-01-14,7.5,7.69,7.46,7.6,7.6,31488200,MU
2013-01-15,7.54,7.62,7.43,7.6,7.6,20793800,MU
2013-01-16,7.63,7.75,7.59,7.67,7.67,18978000,MU
2013-01-17,7.7,7.87,7.7,7.81,7.81,28642800,MU
2013-01-18,7.81,7.99,7.79,7.89,7.89,33156900,MU
2013-01-22,7.84,7.93,7.7,7.84,7.84,23287200,MU
2013-01-23,7.88,7.9,7.68,7.78,7.78,23846100,MU
2013-01-24,7.72,7.89,7.7,7.83,7.83,18816000,MU
2013-01-25,7.89,8.08,7.83,7.87,7.87,30082500,MU
2013-01-28,7.89,7.99,7.78,7.82,7.82,20638000,MU
2013-01-29,7.81,7.82,7.54,7.58,7.58,35140300,MU
2013-01-30,7.58,7.73,7.55,7.65,7.65,21175000,MU
2013-01-31,7.64,7.7,7.54,7.56,7.56,25680800,MU
2013-02-01,7.65,7.84,7.65,7.83,7.83,18710800,MU
2013-02-04,7.8,8.01,7.73,7.76,7.76,27028200,MU
2013-02-05,7.82,7.93,7.67,7.87,7.87,21156900,MU
2013-02-06,7.7,8.06,7.7,7.95,7.95,46545300,MU
2013-02-07,7.98,8.04,7.63,7.73,7.73,58974800,MU
2013-02-08,7.78,7.81,7.66,7.75,7.75,24731700,MU
2013-02-11,7.76,7.95,7.72,7.91,7.91,20221800,MU
2013-02-12,7.91,7.98,7.85,7.92,7.92,19868600,MU
2013-02-13,7.95,7.98,7.85,7.95,7.95,15371200,MU
2013-02-14,7.9,8.09,7.86,8.08,8.08,24535600,MU
2013-02-15,8.11,8.22,7.89,7.91,7.91,40145400,MU
2013-02-19,7.9,8.12,7.88,8.12,8.12,24703800,MU
2013-02-20,8.2,8.25,7.86,7.88,7.88,32447700,MU
2013-02-21,7.82,7.88,7.64,7.68,7.68,37865800,MU
2013-02-22,7.76,8.03,7.72,8.02,8.02,28722100,MU
2013-02-25,8.12,8.22,7.88,7.93,7.93,36297900,MU
2013-02-26,7.98,8.08,7.85,7.96,7.96,25972800,MU
2013-02-27,7.97,8.23,7.95,8.18,8.18,21590500,MU
2013-02-28,8.23,8.5,8.22,8.38,8.38,44039800,MU
2013-03-01,8.32,8.36,8.2,8.25,8.25,19215200,MU
2013-03-04,8.23,8.54,8.2,8.4,8.4,40980800,MU
2013-03-05,8.55,8.79,8.52,8.73,8.73,36701000,MU
2013-03-06,8.82,8.88,8.64,8.65,8.65,19929100,MU
2013-03-07,8.77,8.95,8.71,8.94,8.94,26147300,MU
2013-03-08,9.03,9.24,8.92,9.2,9.2,34822800,MU
2013-03-11,9.15,9.4,9.0,9.35,9.35,43535800,MU
2013-03-12,9.36,9.45,9.2,9.32,9.32,35260600,MU
2013-03-13,9.35,9.66,9.35,9.51,9.51,41491000,MU
2013-03-14,9.62,9.74,9.58,9.69,9.69,25192800,MU
2013-03-15,9.74,9.75,9.27,9.37,9.37,43397000,MU
2013-03-18,9.05,9.32,8.98,9.18,9.18,28917300,MU
2013-03-19,9.27,9.41,9.09,9.24,9.24,26663100,MU
2013-03-20,9.33,9.48,9.19,9.31,9.31,31547600,MU
2013-03-21,9.35,9.37,9.07,9.07,9.07,39419600,MU
2013-03-22,9.75,10.27,9.73,10.04,10.04,99807600,MU
2013-03-25,10.01,10.13,9.78,9.88,9.88,39368000,MU
2013-03-26,9.92,10.1,9.8,9.92,9.92,29906700,MU
2013-03-27,9.76,10.04,9.68,9.96,9.96,27592700,MU
2013-03-28,10.01,10.03,9.87,9.98,9.98,21787500,MU
2013-04-01,9.97,9.98,9.34,9.38,9.38,44911900,MU
2013-04-02,9.51,9.71,9.25,9.3,9.3,36023200,MU
2013-04-03,9.35,9.45,9.05,9.1,9.1,31012800,MU
2013-04-04,9.09,9.33,9.04,9.31,9.31,30485200,MU
2013-04-05,9.15,9.59,9.12,9.31,9.31,41684200,MU
2013-04-08,9.29,9.41,9.06,9.39,9.39,27065000,MU
2013-04-09,9.45,9.67,9.39,9.57,9.57,21306900,MU
2013-04-10,9.64,10.22,9.63,10.09,10.09,49796900,MU
2013-04-11,9.91,10.15,9.77,9.98,9.98,28744300,MU
2013-04-12,9.92,10.09,9.83,10.01,10.01,19487800,MU
2013-04-15,9.93,9.96,9.56,9.56,9.56,28377200,MU
2013-04-16,9.78,9.89,9.7,9.87,9.87,28029600,MU
2013-04-17,9.74,9.76,9.35,9.39,9.39,37553400,MU
2013-04-18,9.53,9.58,9.11,9.23,9.23,34728800,MU
2013-04-19,9.26,9.47,9.1,9.35,9.35,32770600,MU
2013-04-22,9.36,9.43,9.14,9.31,9.31,25020600,MU
2013-04-23,9.4,9.49,9.27,9.42,9.42,24320300,MU
2013-04-24,9.4,9.5,9.31,9.42,9.42,21298900,MU
2013-04-25,9.36,9.64,9.32,9.53,9.53,28185700,MU
2013-04-26,9.5,9.73,9.41,9.43,9.43,20556000,MU
2013-04-29,9.48,9.5,9.34,9.35,9.35,17186600,MU
2013-04-30,9.41,9.46,9.19,9.42,9.42,27791600,MU
2013-05-01,9.42,9.47,9.15,9.2,9.2,29159700,MU
2013-05-02,9.1,9.36,9.07,9.32,9.32,26660200,MU
2013-05-03,9.45,9.7,9.43,9.63,9.63,23335200,MU
2013-05-06,9.73,9.94,9.7,9.76,9.76,21108200,MU
2013-05-07,9.8,9.98,9.66,9.97,9.97,26888100,MU
2013-05-08,9.92,10.26,9.82,10.24,10.24,37045600,MU
2013-05-09,10.22,10.75,10.21,10.71,10.71,46665700,MU
2013-05-10,10.6,10.9,10.6,10.82,10.82,35312700,MU
2013-05-13,10.75,10.81,10.6,10.66,10.66,22562900,MU
2013-05-14,10.7,10.71,10.52,10.65,10.65,20576300,MU
2013-05-15,10.68,11.0,10.63,10.87,10.87,25065200,MU
2013-05-16,10.93,11.26,10.93,11.06,11.06,35917300,MU
2013-05-17,11.16,11.42,11.13,11.31,11.31,30543500,MU
2013-05-20,11.31,11.4,11.08,11.21,11.21,24658400,MU
2013-05-21,11.21,11.32,11.16,11.23,11.23,18960900,MU
2013-05-22,11.23,11.68,10.8,10.92,10.92,51844400,MU
2013-05-23,10.73,11.49,10.57,11.39,11.39,57163600,MU
2013-05-24,11.3,11.66,11.29,11.59,11.59,28601200,MU
2013-05-28,11.74,11.88,11.69,11.78,11.78,25633800,MU
2013-05-29,11.69,11.92,11.6,11.83,11.83,25205300,MU
2013-05-30,11.81,11.99,11.75,11.89,11.89,25785400,MU
2013-05-31,11.83,11.91,11.68,11.68,11.68,23852400,MU
2013-06-03,11.74,11.99,11.41,11.73,11.73,26382900,MU
2013-06-04,11.73,12.0,11.65,11.71,11.71,26370500,MU
2013-06-05,11.69,12.14,11.67,12.02,12.02,40890700,MU
2013-06-06,12.18,12.54,12.14,12.35,12.35,47860200,MU
2013-06-07,12.56,12.72,12.37,12.65,12.65,32419000,MU
2013-06-10,12.64,13.08,12.64,12.95,12.95,40488200,MU
2013-06-11,12.87,13.2,12.63,12.81,12.81,49707600,MU
2013-06-12,12.98,13.12,12.46,12.49,12.49,34199300,MU
2013-06-13,12.53,12.92,12.47,12.91,12.91,30212000,MU
2013-06-14,13.08,13.16,12.64,12.76,12.76,29740300,MU
2013-06-17,13.16,13.5,13.08,13.24,13.24,50588300,MU
2013-06-18,13.34,13.76,13.31,13.75,13.75,57594500,MU
2013-06-19,13.82,14.11,13.64,13.97,13.97,83958500,MU
2013-06-20,13.48,13.81,13.19,13.54,13.54,75247900,MU
2013-06-21,13.85,14.05,13.7,13.9,13.9,73389200,MU
2013-06-24,13.81,13.87,13.16,13.46,13.46,68189200,MU
