Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,13.0,13.07,12.88,13.06,12.468171,5773300,SCHW
2012-12-07,13.1,13.42,13.08,13.42,12.811856,7642400,SCHW
2012-12-10,13.37,13.46,13.14,13.37,12.764123,7528000,SCHW
2012-12-11,13.45,13.71,13.44,13.67,13.050529,9028200,SCHW
2012-12-12,13.71,13.83,13.62,13.67,13.050529,10462900,SCHW
2012-12-13,13.68,13.82,13.63,13.75,13.126904000000001,8083100,SCHW
2012-12-14,13.58,13.74,13.43,13.7,13.079167,10440000,SCHW
2012-12-17,13.76,13.89,13.65,13.87,13.241465,8355000,SCHW
2012-12-18,13.88,14.23,13.78,14.21,13.566056,8818300,SCHW
2012-12-19,14.26,14.66,14.2,14.47,13.814274,20338700,SCHW
2012-12-20,14.51,14.56,14.27,14.46,13.804729,9179900,SCHW
2012-12-21,14.33,14.42,14.2,14.32,13.671071,12546300,SCHW
2012-12-24,14.3,14.36,14.21,14.33,13.680617000000002,1699800,SCHW
2012-12-26,14.35,14.4,14.23,14.26,13.613791,3421800,SCHW
2012-12-27,14.26,14.33,14.0,14.21,13.566056,6928700,SCHW
2012-12-28,14.12,14.25,14.08,14.14,13.499229000000001,5923700,SCHW
2012-12-31,14.12,14.37,14.08,14.36,13.70926,8220900,SCHW
2013-01-02,14.67,15.08,14.62,15.08,14.396629999999998,15607600,SCHW
2013-01-03,15.05,15.2,14.86,15.06,14.377537,14175900,SCHW
2013-01-04,15.07,15.57,15.05,15.46,14.759407999999999,16143400,SCHW
2013-01-07,15.41,15.41,15.07,15.27,14.578024,10327300,SCHW
2013-01-08,15.26,15.34,15.07,15.22,14.530285999999998,9954300,SCHW
2013-01-09,15.28,15.31,15.0,15.13,14.444366,7591200,SCHW
2013-01-10,15.25,15.37,15.14,15.33,14.635303,7617400,SCHW
2013-01-11,15.29,15.42,15.24,15.39,14.692582999999999,6940000,SCHW
2013-01-14,15.39,15.41,15.25,15.27,14.578024,8394700,SCHW
2013-01-15,15.17,15.3,15.11,15.29,14.597114999999999,9215900,SCHW
2013-01-16,15.16,15.25,14.98,15.05,14.367989999999999,11803900,SCHW
2013-01-17,15.17,15.3,15.09,15.25,14.558928,11575600,SCHW
2013-01-18,15.25,15.47,15.21,15.45,14.749865,7547100,SCHW
