Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,70.629997,71.089996,70.129997,71.050003,63.921321999999996,944400,SWK
2012-12-07,71.32,71.610001,70.82,71.190002,64.047256,881000,SWK
2012-12-10,71.160004,72.010002,70.91999799999999,71.839996,64.63205,1028200,SWK
2012-12-11,72.339996,72.650002,71.75,72.309998,65.054893,1348800,SWK
2012-12-12,72.650002,73.870003,72.349998,72.989998,65.666656,1314100,SWK
2012-12-13,73.010002,73.07,71.779999,71.989998,64.766991,1465300,SWK
2012-12-14,72.0,72.220001,71.199997,71.309998,64.15522800000001,1246200,SWK
2012-12-17,71.650002,72.32,71.389999,72.150002,64.910965,1347200,SWK
2012-12-18,72.43,75.089996,72.349998,74.510002,67.034157,2285000,SWK
2012-12-19,74.459999,74.620003,73.910004,73.949997,66.530334,1340100,SWK
2012-12-20,73.900002,74.41999799999999,73.459999,74.400002,66.935204,762100,SWK
2012-12-21,73.540001,74.059998,72.949997,73.440002,66.071533,1420600,SWK
2012-12-24,74.989998,74.989998,73.099998,73.43,66.062515,300400,SWK
2012-12-26,73.58000200000001,73.639999,72.5,72.760002,65.45974,526400,SWK
2012-12-27,72.889999,73.050003,72.010002,72.66999799999999,65.378777,963500,SWK
2012-12-28,72.099998,72.959999,72.010002,72.059998,64.829971,732100,SWK
2012-12-31,72.010002,74.029999,71.779999,73.970001,66.54833199999999,977400,SWK
2013-01-02,75.230003,75.959999,74.470001,75.440002,67.87084200000001,1523500,SWK
2013-01-03,75.459999,75.459999,73.879997,74.050003,66.62033100000001,1853400,SWK
2013-01-04,74.300003,75.300003,73.980003,74.760002,67.259079,1216600,SWK
2013-01-07,74.16999799999999,75.410004,74.16999799999999,75.089996,67.555954,1630800,SWK
2013-01-08,74.57,75.41999799999999,74.529999,75.41999799999999,67.852859,1449200,SWK
2013-01-09,75.709999,75.709999,74.510002,75.110001,67.573952,1150300,SWK
2013-01-10,75.389999,75.83000200000001,74.959999,75.83000200000001,68.22171800000001,1134600,SWK
2013-01-11,75.75,75.800003,74.860001,75.209999,67.663925,1552600,SWK
2013-01-14,75.220001,75.550003,74.980003,75.290001,67.735901,954800,SWK
2013-01-15,76.379997,76.889999,75.410004,76.139999,68.500626,1111200,SWK
2013-01-16,75.75,76.209999,75.559998,76.050003,68.419655,869800,SWK
2013-01-17,76.379997,77.75,76.32,77.279999,69.526237,1727200,SWK
2013-01-18,77.5,77.690002,76.529999,76.949997,69.229347,1348800,SWK
2013-01-22,76.870003,77.959999,76.510002,77.889999,70.075027,2148700,SWK
2013-01-23,77.699997,78.389999,76.720001,77.959999,70.13801600000001,2373800,SWK
2013-01-24,77.93,78.08000200000001,75.599998,77.220001,69.47225999999999,3066500,SWK
2013-01-25,77.300003,77.400002,75.949997,76.870003,69.157364,2071100,SWK
2013-01-28,76.82,76.870003,76.029999,76.58000200000001,68.896454,2029300,SWK
2013-01-29,75.93,77.110001,75.83000200000001,76.860001,69.148376,1789400,SWK
2013-01-30,76.910004,77.989998,76.849998,77.050003,69.319305,1783200,SWK
2013-01-31,76.809998,77.589996,76.66999799999999,76.83000200000001,69.121376,1400500,SWK
2013-02-01,77.480003,77.839996,77.040001,77.370003,69.60721600000001,1059200,SWK
2013-02-04,76.559998,76.870003,76.089996,76.239998,68.590599,1163500,SWK
2013-02-05,76.650002,77.760002,76.610001,77.470001,69.697182,1329700,SWK
2013-02-06,77.120003,77.660004,77.08000200000001,77.309998,69.553207,1709600,SWK
2013-02-07,77.5,77.5,76.18,76.300003,68.64456899999999,1128100,SWK
2013-02-08,76.360001,76.739998,76.129997,76.239998,68.590599,861800,SWK
2013-02-11,76.129997,76.239998,75.800003,75.93,68.311684,979100,SWK
2013-02-12,76.129997,77.870003,75.959999,77.489998,69.71515699999999,1825700,SWK
2013-02-13,77.559998,77.639999,77.050003,77.480003,69.706177,1083500,SWK
2013-02-14,77.16999799999999,78.230003,76.940002,77.809998,70.003075,1459900,SWK
2013-02-15,77.910004,79.059998,77.650002,78.459999,70.587837,1336100,SWK
2013-02-19,78.639999,79.5,78.639999,79.16999799999999,71.226608,1791300,SWK
2013-02-20,79.050003,79.120003,77.550003,77.629997,69.84111800000001,1477100,SWK
2013-02-21,76.91999799999999,77.459999,75.730003,76.08000200000001,68.44664,1623800,SWK
2013-02-22,76.459999,77.66999799999999,76.339996,77.440002,69.67018900000001,1085500,SWK
2013-02-25,77.93,77.93,75.139999,75.139999,67.600945,1387500,SWK
2013-02-26,75.809998,76.489998,75.08000200000001,76.260002,68.608566,2016200,SWK
2013-02-27,76.18,78.339996,76.18,77.91999799999999,70.10202,1429000,SWK
2013-02-28,78.029999,79.040001,77.800003,78.699997,70.80378,1484400,SWK
2013-03-01,78.190002,78.230003,77.199997,77.589996,69.805138,1548300,SWK
2013-03-04,77.510002,77.510002,76.120003,77.389999,69.625198,1171600,SWK
2013-03-05,77.849998,78.75,77.599998,78.339996,70.479874,1190700,SWK
2013-03-06,78.5,79.33000200000001,78.150002,78.519997,70.64181500000001,2683300,SWK
2013-03-07,78.190002,78.83000200000001,77.959999,78.120003,70.72331199999999,804600,SWK
2013-03-08,78.709999,79.519997,78.08000200000001,78.959999,71.483765,1300300,SWK
2013-03-11,78.83000200000001,79.949997,78.650002,79.699997,72.153687,1044300,SWK
2013-03-12,79.75,79.900002,79.33000200000001,79.779999,72.226112,1032300,SWK
2013-03-13,79.879997,80.629997,79.470001,80.16999799999999,72.579216,1443300,SWK
2013-03-14,80.379997,81.220001,80.360001,81.089996,73.412102,1260000,SWK
2013-03-15,80.620003,81.199997,80.050003,81.16999799999999,73.484512,1772400,SWK
2013-03-18,80.230003,81.230003,79.660004,80.550003,72.923225,3004700,SWK
2013-03-19,80.900002,81.41999799999999,80.550003,81.290001,73.593163,1469600,SWK
2013-03-20,81.760002,81.980003,81.220001,81.610001,73.882866,1289200,SWK
2013-03-21,81.099998,81.82,80.93,81.18,73.49356800000001,895900,SWK
2013-03-22,81.360001,81.75,80.849998,81.57,73.846642,740500,SWK
2013-03-25,81.870003,82.43,80.879997,81.480003,73.765152,1376900,SWK
2013-03-26,81.83000200000001,82.110001,81.160004,81.190002,73.50260899999999,827000,SWK
2013-03-27,80.699997,80.699997,79.709999,79.739998,72.189911,1842400,SWK
2013-03-28,79.760002,81.050003,79.300003,80.970001,73.30345200000001,5139600,SWK
2013-04-01,80.769997,81.160004,79.739998,79.83000200000001,72.271393,1489400,SWK
2013-04-02,80.32,80.82,79.33000200000001,79.58000200000001,72.045067,1062100,SWK
2013-04-03,79.440002,79.860001,78.660004,79.099998,71.610504,1530900,SWK
2013-04-04,79.099998,79.510002,78.07,78.389999,70.96772800000001,1853900,SWK
2013-04-05,77.379997,77.779999,76.230003,77.559998,70.216316,1857500,SWK
