Date,Open,High,Low,Close,Adj Close,Volume,Name
2012-12-06,49.040001000000004,49.240002000000004,48.810001,49.07,49.07,914100,VRSK
2012-12-07,48.860001000000004,49.580002,48.860001000000004,49.509997999999996,49.509997999999996,486800,VRSK
2012-12-10,49.57,49.939999,48.959998999999996,49.450001,49.450001,910500,VRSK
2012-12-11,49.73,49.860001000000004,49.48,49.740002000000004,49.740002000000004,664800,VRSK
2012-12-12,49.599998,49.959998999999996,49.189999,49.779999,49.779999,1179200,VRSK
2012-12-13,49.549999,49.669998,49.150002,49.209998999999996,49.209998999999996,708500,VRSK
2012-12-14,49.25,49.400002,48.799999,48.84,48.84,716900,VRSK
2012-12-17,49.189999,50.34,48.91,50.290001000000004,50.290001000000004,1432800,VRSK
2012-12-18,50.09,50.630001,49.849998,50.23,50.23,939000,VRSK
2012-12-19,50.490002000000004,51.369999,49.900002,51.110001000000004,51.110001000000004,1270100,VRSK
2012-12-20,50.82,51.25,50.619999,51.130001,51.130001,1060300,VRSK
2012-12-21,50.759997999999996,51.290001000000004,50.5,50.959998999999996,50.959998999999996,5469400,VRSK
2012-12-24,50.759997999999996,50.790001000000004,50.25,50.700001,50.700001,245800,VRSK
2012-12-26,50.459998999999996,50.799999,49.98,50.110001000000004,50.110001000000004,424000,VRSK
2012-12-27,49.98,50.27,49.240002000000004,50.110001000000004,50.110001000000004,626900,VRSK
2012-12-28,49.009997999999996,50.470001,49.009997999999996,50.110001000000004,50.110001000000004,763900,VRSK
2012-12-31,50.150002,51.09,50.009997999999996,50.970001,50.970001,870500,VRSK
2013-01-02,51.66,53.0,51.169998,52.98,52.98,1305600,VRSK
2013-01-03,52.939999,53.599998,52.799999,53.59,53.59,1201700,VRSK
2013-01-04,53.43,53.98,53.25,53.5,53.5,692300,VRSK
2013-01-07,53.240002000000004,53.490002000000004,53.080002,53.259997999999996,53.259997999999996,1077500,VRSK
2013-01-08,53.369999,53.91,53.259997999999996,53.900002,53.900002,626400,VRSK
2013-01-09,53.82,54.200001,53.580002,53.950001,53.950001,668700,VRSK
2013-01-10,54.299999,54.299999,53.669998,53.869999,53.869999,1141200,VRSK
2013-01-11,54.060001,54.060001,53.360001000000004,53.900002,53.900002,672200,VRSK
2013-01-14,54.720001,55.400002,53.970001,54.419998,54.419998,958000,VRSK
2013-01-15,54.139998999999996,55.09,54.139998999999996,55.029999,55.029999,1035200,VRSK
2013-01-16,54.810001,55.110001000000004,53.82,53.889998999999996,53.889998999999996,1044300,VRSK
2013-01-17,53.75,54.16,53.419998,53.84,53.84,896800,VRSK
2013-01-18,53.619999,54.650002,53.57,54.580002,54.580002,574600,VRSK
2013-01-22,54.389998999999996,54.630001,53.779999,54.540001000000004,54.540001000000004,755900,VRSK
2013-01-23,54.68,54.75,54.369999,54.52,54.52,424100,VRSK
2013-01-24,54.889998999999996,55.77,54.560001,55.18,55.18,677300,VRSK
2013-01-25,55.09,55.27,54.77,54.990002000000004,54.990002000000004,625900,VRSK
2013-01-28,54.990002000000004,55.099998,54.77,54.970001,54.970001,481400,VRSK
2013-01-29,54.630001,55.360001000000004,54.5,55.310001,55.310001,450600,VRSK
2013-01-30,55.07,55.700001,55.07,55.299999,55.299999,739700,VRSK
2013-01-31,55.09,55.5,54.57,55.16,55.16,596400,VRSK
2013-02-01,55.66,56.060001,55.34,55.709998999999996,55.709998999999996,594400,VRSK
2013-02-04,55.43,55.73,54.639998999999996,54.810001,54.810001,508600,VRSK
2013-02-05,54.93,55.23,54.66,55.099998,55.099998,437400,VRSK
2013-02-06,54.939999,55.18,54.419998,54.5,54.5,774800,VRSK
2013-02-07,54.709998999999996,54.709998999999996,53.84,54.290001000000004,54.290001000000004,850900,VRSK
2013-02-08,54.650002,55.130001,54.279999,54.900002,54.900002,364200,VRSK
2013-02-11,55.0,55.0,53.73,54.619999,54.619999,548600,VRSK
2013-02-12,54.52,54.599998,53.700001,54.23,54.23,447000,VRSK
2013-02-13,54.57,54.810001,54.259997999999996,54.57,54.57,343900,VRSK
2013-02-14,54.470001,54.549999,54.259997999999996,54.27,54.27,406300,VRSK
2013-02-15,54.299999,55.18,54.259997999999996,54.880001,54.880001,363500,VRSK
2013-02-19,54.869999,55.02,54.580002,55.0,55.0,469200,VRSK
2013-02-20,54.970001,55.400002,54.209998999999996,54.310001,54.310001,648800,VRSK
2013-02-21,54.25,54.32,53.5,53.73,53.73,434800,VRSK
2013-02-22,53.93,54.470001,53.84,54.439999,54.439999,469500,VRSK
2013-02-25,54.669998,55.060001,53.650002,53.700001,53.700001,625700,VRSK
2013-02-26,54.099998,54.259997999999996,53.68,53.900002,53.900002,711000,VRSK
2013-02-27,55.41,60.290001000000004,55.02,58.049999,58.049999,2422900,VRSK
2013-02-28,58.299999,58.810001,57.150002,58.470001,58.470001,1249600,VRSK
2013-03-01,58.18,59.02,57.970001,59.0,59.0,956900,VRSK
2013-03-04,58.950001,59.389998999999996,58.810001,59.369999,59.369999,535900,VRSK
2013-03-05,59.48,59.540001000000004,58.599998,59.32,59.32,828700,VRSK
2013-03-06,59.689999,60.009997999999996,59.279999,59.34,59.34,469600,VRSK
2013-03-07,59.470001,59.82,59.0,59.369999,59.369999,737600,VRSK
2013-03-08,59.619999,59.799999,59.150002,59.709998999999996,59.709998999999996,675000,VRSK
2013-03-11,59.68,59.84,59.25,59.84,59.84,492300,VRSK
2013-03-12,59.849998,59.950001,58.66,58.700001,58.700001,750700,VRSK
2013-03-13,59.009997999999996,59.549999,58.419998,59.189999,59.189999,925200,VRSK
2013-03-14,59.130001,59.57,58.919998,59.560001,59.560001,569700,VRSK
2013-03-15,58.880001,60.119999,58.880001,60.049999,60.049999,1564300,VRSK
2013-03-18,59.380001,60.009997999999996,59.279999,59.73,59.73,621600,VRSK
2013-03-19,59.75,59.959998999999996,59.380001,59.830002,59.830002,641900,VRSK
2013-03-20,60.259997999999996,60.490002000000004,59.450001,60.07,60.07,719800,VRSK
2013-03-21,59.669998,60.279999,59.59,60.02,60.02,588600,VRSK
2013-03-22,60.310001,61.419998,60.310001,61.23,61.23,719800,VRSK
2013-03-25,61.450001,61.57,60.48,61.099998,61.099998,561800,VRSK
2013-03-26,61.389998999999996,61.639998999999996,61.0,61.380001,61.380001,438900,VRSK
2013-03-27,61.0,61.720001,60.720001,61.549999,61.549999,463800,VRSK
2013-03-28,61.77,61.849998,60.900002,61.619999,61.619999,1221300,VRSK
2013-04-01,61.099998,61.880001,60.610001000000004,61.139998999999996,61.139998999999996,787900,VRSK
2013-04-02,61.200001,61.700001,60.849998,61.080002,61.080002,545800,VRSK
2013-04-03,61.220001,61.369999,60.16,60.470001,60.470001,531200,VRSK
2013-04-04,60.380001,60.669998,59.700001,59.98,59.98,560900,VRSK
2013-04-05,59.029999,59.360001000000004,58.419998,58.900002,58.900002,1107500,VRSK
2013-04-08,58.900002,60.220001,58.900002,59.93,59.93,625900,VRSK
2013-04-09,60.099998,60.25,59.240002000000004,59.779999,59.779999,489200,VRSK
2013-04-10,59.919998,61.310001,59.869999,61.23,61.23,756700,VRSK
2013-04-11,61.16,61.48,60.77,61.029999,61.029999,509700,VRSK
2013-04-12,61.18,61.259997999999996,60.73,61.150002,61.150002,363100,VRSK
2013-04-15,60.900002,61.09,59.919998,59.93,59.93,553600,VRSK
2013-04-16,60.32,60.669998,59.470001,59.75,59.75,1501700,VRSK
2013-04-17,59.23,59.919998,59.220001,59.669998,59.669998,744800,VRSK
2013-04-18,59.669998,59.880001,59.09,59.139998999999996,59.139998999999996,441300,VRSK
2013-04-19,60.130001,60.5,58.720001,59.029999,59.029999,1086100,VRSK
2013-04-22,59.25,59.470001,58.799999,59.18,59.18,474100,VRSK
2013-04-23,59.48,60.25,59.48,59.869999,59.869999,609100,VRSK
2013-04-24,59.759997999999996,60.25,59.549999,59.630001,59.630001,583800,VRSK
2013-04-25,59.880001,60.419998,59.740002000000004,60.110001000000004,60.110001000000004,576000,VRSK
2013-04-26,59.91,59.990002000000004,59.59,59.82,59.82,486400,VRSK
2013-04-29,59.849998,60.5,59.709998999999996,60.490002000000004,60.490002000000004,690400,VRSK
2013-04-30,60.57,61.41,60.259997999999996,61.290001000000004,61.290001000000004,1019500,VRSK
2013-05-01,56.400002,62.389998999999996,54.68,60.619999,60.619999,1261900,VRSK
2013-05-02,59.830002,61.169998,59.16,60.650002,60.650002,501900,VRSK
2013-05-03,60.599998,60.959998999999996,60.32,60.580002,60.580002,747200,VRSK
2013-05-06,60.740002000000004,61.25,60.360001000000004,60.459998999999996,60.459998999999996,783400,VRSK
2013-05-07,60.709998999999996,60.970001,60.509997999999996,60.849998,60.849998,681100,VRSK
2013-05-08,60.73,61.299999,60.439999,61.02,61.02,892900,VRSK
2013-05-09,61.18,61.360001000000004,60.639998999999996,60.810001,60.810001,563400,VRSK
2013-05-10,61.009997999999996,61.130001,60.560001,60.59,60.59,490500,VRSK
2013-05-13,60.389998999999996,60.68,60.110001000000004,60.400002,60.400002,669000,VRSK
2013-05-14,60.439999,60.82,60.439999,60.700001,60.700001,641100,VRSK
2013-05-15,60.869999,61.040001000000004,60.700001,60.799999,60.799999,607700,VRSK
2013-05-16,59.759997999999996,60.919998,58.619999,60.400002,60.400002,642600,VRSK
2013-05-17,60.860001000000004,60.91,60.470001,60.720001,60.720001,592900,VRSK
2013-05-20,60.560001,60.73,60.139998999999996,60.330002,60.330002,540700,VRSK
2013-05-21,60.27,60.560001,60.25,60.41,60.41,831000,VRSK
2013-05-22,60.5,61.0,59.59,59.900002,59.900002,832400,VRSK
2013-05-23,59.740002000000004,60.400002,59.060001,59.990002000000004,59.990002000000004,1053200,VRSK
2013-05-24,59.959998999999996,59.990002000000004,58.959998999999996,59.34,59.34,1400800,VRSK
2013-05-28,59.0,59.630001,59.0,59.5,59.5,1468800,VRSK
2013-05-29,59.310001,59.560001,58.669998,59.299999,59.299999,1371000,VRSK
2013-05-30,59.220001,59.66,59.09,59.18,59.18,1440100,VRSK
2013-05-31,58.900002,59.580002,58.68,58.82,58.82,1206700,VRSK
2013-06-03,58.82,59.41,58.02,59.41,59.41,565400,VRSK
