Date,Open,High,Low,Close,Volume,Name
2012-08-13,232.23,234.37,231.0,232.44,1997421,AMZN
2012-08-14,234.71,236.72,232.62,233.19,2750998,AMZN
2012-08-15,232.26,238.14,232.25,237.42,3266819,AMZN
2012-08-16,237.72,242.82,236.2,241.55,4312712,AMZN
2012-08-17,240.6,243.35,240.47,241.17,3085900,AMZN
2012-08-20,241.37,241.65,238.2,240.35,1889992,AMZN
2012-08-21,240.88,243.85,238.55,239.45,2571911,AMZN
2012-08-22,239.4,244.9,238.8,243.1,2473886,AMZN
2012-08-23,242.14,243.48,239.02,241.2,2454445,AMZN
2012-08-24,241.68,246.87,241.36,245.74,3699397,AMZN
2012-08-27,245.79,247.5,243.12,243.92,2929676,AMZN
2012-08-28,243.97,246.78,243.0,246.11,2746912,AMZN
2012-08-29,246.78,247.61,244.59,247.12,1773899,AMZN
2012-08-30,246.99,250.0,245.25,246.22,3647976,AMZN
2012-08-31,248.07,249.45,245.5,248.27,3347458,AMZN
2012-09-04,248.27,251.0,244.66,247.88,3954066,AMZN
2012-09-05,247.61,248.61,245.3,246.22,2653576,AMZN
2012-09-06,248.23,252.7,247.2,251.38,5363368,AMZN
2012-09-07,253.85,259.42,253.52,259.14,5030876,AMZN
2012-09-10,259.0,260.0,256.82,257.09,2567521,AMZN
2012-09-11,257.6,257.6,254.26,255.67,2526395,AMZN
2012-09-12,256.5,257.78,253.5,255.63,2274715,AMZN
2012-09-13,254.94,262.0,253.8,260.24,3526477,AMZN
2012-09-14,261.4,264.11,259.77,261.27,3666583,AMZN
2012-09-17,261.25,261.25,257.0,258.0,2306215,AMZN
2012-09-18,258.48,260.5,257.0,258.75,2216148,AMZN
2012-09-19,259.45,262.84,258.53,261.68,2637214,AMZN
2012-09-20,260.03,260.87,258.0,260.81,2914144,AMZN
2012-09-21,261.74,262.0,256.74,257.47,6060350,AMZN
2012-09-24,255.22,255.6,253.0,254.8,2710040,AMZN
2012-09-25,256.33,258.95,251.03,252.46,4405976,AMZN
2012-09-26,252.4,254.61,248.23,249.67,2921042,AMZN
2012-09-27,250.54,257.4,250.52,256.59,3397739,AMZN
2012-09-28,256.14,257.0,253.2,254.32,2456710,AMZN
2012-10-01,255.4,256.16,250.49,252.01,2581202,AMZN
2012-10-02,252.8,253.15,249.03,250.6,2195767,AMZN
2012-10-03,251.21,256.1,249.56,255.92,2746516,AMZN
2012-10-04,256.01,261.52,255.87,260.47,2710852,AMZN
2012-10-05,261.2,261.9,257.49,258.51,2807298,AMZN
2012-10-08,257.67,259.8,255.56,259.06,1762589,AMZN
2012-10-09,258.67,259.35,250.73,250.96,3497182,AMZN
2012-10-10,252.0,252.46,244.01,244.99,3950008,AMZN
2012-10-11,248.0,249.3,241.89,244.22,3447983,AMZN
2012-10-12,243.18,245.46,241.91,242.36,2203701,AMZN
2012-10-15,242.85,244.78,238.51,244.18,2960049,AMZN
2012-10-16,244.87,245.77,242.08,243.94,2204143,AMZN
2012-10-17,243.37,248.8,243.3,247.49,3303018,AMZN
2012-10-18,247.77,250.91,242.7,244.85,5305942,AMZN
2012-10-19,245.16,246.82,238.94,240.0,4396972,AMZN
2012-10-22,238.81,238.95,232.32,233.78,4499938,AMZN
2012-10-23,231.05,236.5,230.01,234.31,4431962,AMZN
2012-10-24,235.88,235.94,227.95,228.49,3679682,AMZN
2012-10-25,230.92,230.92,222.92,222.92,6741212,AMZN
2012-10-26,228.6,238.71,226.69,238.24,11367410,AMZN
2012-10-31,236.32,238.7,230.5,232.89,4797876,AMZN
2012-11-01,234.23,234.55,231.34,232.14,3905997,AMZN
2012-11-02,234.01,237.4,232.11,232.42,3374847,AMZN
2012-11-05,232.04,234.83,230.11,234.33,1846241,AMZN
2012-11-06,235.41,237.75,234.45,237.56,2664319,AMZN
2012-11-07,235.65,235.66,229.42,232.06,3625570,AMZN
2012-11-08,232.22,233.45,227.1,227.35,2991034,AMZN
2012-11-09,226.26,230.97,224.6,226.31,3092767,AMZN
2012-11-12,226.59,229.22,225.41,226.47,2129805,AMZN
2012-11-13,225.12,227.9,224.71,226.6,2629797,AMZN
2012-11-14,226.5,227.41,222.51,222.95,3034284,AMZN
2012-11-15,222.3,225.16,218.18,220.6,3404622,AMZN
2012-11-16,221.31,226.25,218.64,225.23,4353536,AMZN
2012-11-19,228.32,232.5,227.45,229.71,3593171,AMZN
2012-11-20,230.0,233.82,229.5,233.78,2772653,AMZN
2012-11-21,233.84,238.67,232.75,238.03,2959494,AMZN
2012-11-23,239.89,240.0,236.48,239.88,1776744,AMZN
2012-11-26,240.39,244.32,238.0,243.62,4178897,AMZN
2012-11-27,243.22,245.67,241.54,243.4,3048476,AMZN
2012-11-28,242.45,247.23,241.5,247.11,2744898,AMZN
2012-11-29,248.05,252.48,247.5,251.27,5314702,AMZN
2012-11-30,250.38,252.65,248.27,252.05,3797641,AMZN
2012-12-03,252.54,254.16,250.0,250.33,2991393,AMZN
2012-12-04,249.94,253.0,248.66,252.49,3116870,AMZN
2012-12-05,252.44,255.55,250.38,253.96,2853087,AMZN
2012-12-06,253.0,255.17,251.51,253.37,3557822,AMZN
2012-12-07,254.14,255.21,252.01,253.27,2170475,AMZN
2012-12-10,253.1,254.78,247.3,247.77,3505507,AMZN
2012-12-11,248.5,253.48,246.65,250.69,4185953,AMZN
2012-12-12,251.07,254.36,250.06,251.76,2628123,AMZN
2012-12-13,251.11,254.54,250.02,251.25,2462285,AMZN
2012-12-14,250.11,251.9,247.79,249.19,2527188,AMZN
2012-12-17,249.81,254.0,249.26,253.86,2277289,AMZN
2012-12-18,254.57,263.11,254.57,260.4,4961611,AMZN
2012-12-19,261.3,261.67,257.68,257.99,2301721,AMZN
2012-12-20,258.36,262.41,256.54,261.5,2585390,AMZN
2012-12-21,257.82,258.38,255.74,256.92,4704602,AMZN
2012-12-24,257.3,259.5,256.96,258.62,986435,AMZN
2012-12-26,257.15,257.42,248.04,248.63,4153579,AMZN
2012-12-27,248.28,249.35,242.86,248.31,3640682,AMZN
2012-12-28,245.85,247.44,245.05,245.18,1863298,AMZN
2012-12-31,243.75,252.41,242.75,250.87,3419354,AMZN
2013-01-02,256.08,258.1,253.26,257.31,3271279,AMZN
2013-01-03,257.27,260.88,256.37,258.48,2751611,AMZN
2013-01-04,257.58,259.8,256.65,259.15,1875900,AMZN
2013-01-07,262.97,269.72,262.67,268.46,4912360,AMZN
2013-01-08,267.07,268.98,263.57,266.38,3012356,AMZN
2013-01-09,268.17,269.5,265.4,266.35,2265991,AMZN
2013-01-10,268.54,268.74,262.3,265.34,2866093,AMZN
2013-01-11,265.1,268.43,264.11,267.94,2413364,AMZN
2013-01-14,268.0,274.26,267.54,272.73,4274746,AMZN
2013-01-15,270.68,272.73,269.3,271.9,2327154,AMZN
2013-01-16,270.53,271.24,267.83,268.93,2066092,AMZN
2013-01-17,271.5,271.97,269.21,270.48,1884883,AMZN
2013-01-18,270.83,274.5,269.6,272.12,2944742,AMZN
2013-01-22,271.62,272.1,269.23,270.19,2139462,AMZN
2013-01-23,270.57,271.09,266.65,268.11,2513507,AMZN
2013-01-24,269.37,276.65,269.37,273.62,3416909,AMZN
2013-01-25,275.0,284.72,274.4,283.99,4974945,AMZN
2013-01-28,283.78,284.48,274.4,276.04,4322557,AMZN
2013-01-29,275.35,275.46,258.35,260.35,10172552,AMZN
2013-01-30,283.0,284.2,267.11,272.76,13081805,AMZN
2013-01-31,271.04,275.94,263.7,265.5,6775977,AMZN
2013-02-01,268.93,268.93,262.8,265.0,6118146,AMZN
2013-02-04,262.78,264.68,259.07,259.98,3723793,AMZN
2013-02-05,262.0,268.03,261.46,266.89,4013780,AMZN
2013-02-06,265.16,266.89,261.11,262.22,2772204,AMZN
2013-02-07,264.1,264.1,255.11,260.23,3977065,AMZN
2013-02-08,261.4,265.25,260.56,261.95,3879628,AMZN
2013-02-11,263.2,263.25,256.6,257.21,3407457,AMZN
2013-02-12,259.19,260.16,257.0,258.7,2944730,AMZN
2013-02-13,261.53,269.96,260.3,269.47,5295786,AMZN
2013-02-14,267.37,270.65,265.4,269.24,3464080,AMZN
2013-02-15,267.63,268.92,263.11,265.09,3981233,AMZN
2013-02-19,265.91,270.11,264.5,269.75,2856410,AMZN
2013-02-20,270.2,274.3,266.37,266.41,3530656,AMZN
2013-02-21,265.12,269.48,263.25,265.94,3638795,AMZN
2013-02-22,266.62,267.11,261.61,265.42,3125202,AMZN
2013-02-25,266.94,268.69,259.65,259.87,3032709,AMZN
2013-02-26,260.89,262.04,255.73,259.36,3348760,AMZN
2013-02-27,259.4,265.83,256.86,263.25,2908410,AMZN
2013-02-28,261.81,267.0,260.63,264.27,2668154,AMZN
2013-03-01,263.27,266.6,261.04,265.74,2958799,AMZN
2013-03-04,265.36,273.3,264.14,273.11,3457519,AMZN
2013-03-05,274.0,276.68,269.99,275.59,3688583,AMZN
2013-03-06,275.76,276.49,271.83,273.79,2051552,AMZN
2013-03-07,274.1,274.8,271.85,273.88,1939787,AMZN
2013-03-08,275.0,275.44,271.5,274.19,1880117,AMZN
2013-03-11,273.43,273.99,270.4,271.24,1905076,AMZN
2013-03-12,271.0,277.4,270.36,274.13,3246856,AMZN
2013-03-13,275.24,276.5,272.64,275.1,1884215,AMZN
2013-03-14,269.67,270.0,263.53,265.74,5227305,AMZN
2013-03-15,264.98,267.26,260.05,261.82,4866472,AMZN
2013-03-18,259.3,261.49,257.12,257.89,2721496,AMZN
2013-03-19,258.4,259.5,252.62,256.41,3739566,AMZN
2013-03-20,258.05,259.76,254.55,257.28,2738970,AMZN
2013-03-21,256.11,257.0,252.68,253.39,2806446,AMZN
2013-03-22,254.55,257.77,252.07,257.75,3126299,AMZN
2013-03-25,258.58,259.43,254.5,256.02,2515058,AMZN
2013-03-26,257.05,261.48,256.28,260.31,2421160,AMZN
2013-03-27,258.75,265.93,257.9,265.3,2874924,AMZN
2013-03-28,265.82,267.38,264.06,266.49,2473857,AMZN
2013-04-01,266.98,267.4,261.01,261.61,2525200,AMZN
