Date,Open,High,Low,Close,Volume,Name
2012-08-13,17.54,17.59,17.23,17.34,33824013,CSCO
2012-08-14,17.4,17.4,17.11,17.17,40256544,CSCO
2012-08-15,17.15,17.53,17.12,17.35,63234907,CSCO
2012-08-16,18.63,19.14,18.57,19.02,152184023,CSCO
2012-08-17,19.03,19.23,18.96,19.06,55706695,CSCO
2012-08-20,19.0,19.15,18.8,18.94,39389827,CSCO
2012-08-21,19.0,19.27,18.98,19.16,45522240,CSCO
2012-08-22,19.07,19.22,18.96,19.22,47550007,CSCO
2012-08-23,19.15,19.38,19.04,19.12,37601013,CSCO
2012-08-24,19.04,19.24,18.93,19.2,32440259,CSCO
2012-08-27,19.24,19.37,19.14,19.36,32092449,CSCO
2012-08-28,19.31,19.35,19.16,19.22,30469793,CSCO
2012-08-29,19.22,19.26,19.0,19.2,29766787,CSCO
2012-08-30,19.08,19.08,18.83,18.9,24683846,CSCO
2012-08-31,19.1,19.25,18.92,19.08,38503380,CSCO
2012-09-04,18.99,19.14,18.8,19.0,27008472,CSCO
2012-09-05,19.0,19.12,18.87,18.9,30585934,CSCO
2012-09-06,19.07,19.75,19.05,19.72,59444047,CSCO
2012-09-07,19.55,19.65,19.25,19.56,44786564,CSCO
2012-09-10,19.43,19.47,19.1,19.15,40050688,CSCO
2012-09-11,19.12,19.25,18.93,19.04,31320044,CSCO
2012-09-12,19.11,19.27,19.04,19.08,28488525,CSCO
2012-09-13,19.06,19.52,19.02,19.36,37785315,CSCO
2012-09-14,19.36,19.69,19.34,19.49,46352168,CSCO
2012-09-17,19.16,19.3,19.06,19.16,36731922,CSCO
2012-09-18,19.06,19.27,19.01,19.04,45481355,CSCO
2012-09-19,19.18,19.21,18.95,19.12,29694442,CSCO
2012-09-20,19.03,19.11,18.9,19.11,25119268,CSCO
2012-09-21,19.15,19.2,18.89,18.9,42199738,CSCO
2012-09-24,18.86,18.98,18.69,18.8,32181414,CSCO
2012-09-25,18.95,18.97,18.63,18.66,33992452,CSCO
2012-09-26,18.69,18.75,18.35,18.58,30273693,CSCO
2012-09-27,18.68,18.88,18.55,18.8,29814408,CSCO
2012-09-28,19.0,19.36,19.0,19.1,61124653,CSCO
2012-10-01,19.23,19.4,18.94,19.04,37481053,CSCO
2012-10-02,19.09,19.14,18.73,18.87,34712533,CSCO
2012-10-03,18.96,19.1,18.88,18.93,33817912,CSCO
2012-10-04,19.01,19.05,18.85,18.9,29737616,CSCO
2012-10-05,19.04,19.14,18.8,18.86,27751005,CSCO
2012-10-08,18.99,19.08,18.81,18.9,24172916,CSCO
2012-10-09,18.93,19.06,18.76,18.8,42384003,CSCO
2012-10-10,18.8,18.8,18.29,18.31,42091215,CSCO
2012-10-11,18.47,18.48,18.15,18.26,28341169,CSCO
2012-10-12,18.26,18.46,18.22,18.4,27102171,CSCO
2012-10-15,18.49,18.64,18.41,18.55,27799236,CSCO
2012-10-16,18.63,18.91,18.55,18.85,28580119,CSCO
2012-10-17,18.57,18.8,18.5,18.7,28360764,CSCO
2012-10-18,18.61,18.75,18.5,18.6,40273159,CSCO
2012-10-19,18.58,18.6,18.0,18.04,63726266,CSCO
2012-10-22,18.12,18.23,18.01,18.19,26335454,CSCO
2012-10-23,18.0,18.17,17.94,18.01,33993063,CSCO
2012-10-24,18.03,18.08,17.29,17.38,61969166,CSCO
2012-10-25,17.53,17.53,17.07,17.2,46350437,CSCO
2012-10-26,17.2,17.39,17.11,17.29,31189060,CSCO
2012-10-31,17.38,17.43,17.01,17.14,36798251,CSCO
2012-11-01,17.17,17.58,17.0,17.5,32486083,CSCO
2012-11-02,17.64,17.68,17.31,17.35,28771081,CSCO
2012-11-05,17.33,17.44,17.2,17.4,22191379,CSCO
2012-11-06,17.44,17.71,17.35,17.48,35546811,CSCO
2012-11-07,17.45,17.9,17.09,17.21,49611632,CSCO
2012-11-08,17.22,17.36,16.78,16.83,56064779,CSCO
2012-11-09,16.7,17.03,16.68,16.82,43089923,CSCO
2012-11-12,16.86,17.09,16.75,16.86,28773104,CSCO
2012-11-13,16.71,16.94,16.69,16.85,72206117,CSCO
2012-11-14,18.05,18.25,17.62,17.66,97062101,CSCO
2012-11-15,17.75,18.08,17.74,17.94,55892312,CSCO
2012-11-16,17.93,18.05,17.8,17.99,60823625,CSCO
2012-11-19,18.27,18.34,18.1,18.3,40616346,CSCO
2012-11-20,18.29,18.36,18.07,18.34,30380699,CSCO
2012-11-21,18.37,18.62,18.27,18.48,30479820,CSCO
2012-11-23,18.6,18.89,18.53,18.84,17262013,CSCO
2012-11-26,18.79,19.07,18.59,19.06,34609553,CSCO
2012-11-27,18.9,19.1,18.84,18.96,53080382,CSCO
2012-11-28,18.89,18.96,18.55,18.83,41265152,CSCO
2012-11-29,18.98,19.1,18.92,19.01,32452515,CSCO
2012-11-30,19.04,19.13,18.83,18.91,45203054,CSCO
2012-12-03,19.02,19.16,18.95,19.03,32381498,CSCO
2012-12-04,19.08,19.2,19.0,19.17,34315694,CSCO
2012-12-05,19.16,19.45,19.14,19.21,36983476,CSCO
2012-12-06,19.22,19.5,19.2,19.48,35837076,CSCO
2012-12-07,19.6,19.74,19.16,19.34,50602443,CSCO
2012-12-10,19.35,19.9,19.34,19.79,62864989,CSCO
2012-12-11,19.85,20.07,19.67,19.78,58464166,CSCO
2012-12-12,19.84,19.89,19.69,19.73,38701387,CSCO
2012-12-13,19.69,19.84,19.6,19.74,37844395,CSCO
2012-12-14,19.74,20.0,19.69,19.86,40804837,CSCO
