Date,Open,High,Low,Close,Volume,Name
2012-08-13,49.53,49.98,49.46,49.86,4874940,DIS
2012-08-14,49.93,50.15,49.53,49.69,6366021,DIS
2012-08-15,49.65,49.97,49.65,49.89,4887028,DIS
2012-08-16,49.99,50.42,49.8,50.25,8285810,DIS
2012-08-17,50.35,50.55,50.26,50.46,6354625,DIS
2012-08-20,50.32,50.59,50.15,50.45,6937030,DIS
2012-08-21,50.41,50.48,49.51,49.64,7683500,DIS
2012-08-22,49.6,50.15,49.5,49.66,6759330,DIS
2012-08-23,49.61,49.66,49.03,49.17,5428236,DIS
2012-08-24,49.08,49.61,49.01,49.56,5793607,DIS
2012-08-27,49.49,49.85,49.41,49.63,6228710,DIS
2012-08-28,49.44,49.85,49.29,49.63,7962320,DIS
2012-08-29,49.64,50.17,49.59,50.04,7685081,DIS
2012-08-30,49.72,49.78,49.37,49.42,6697705,DIS
2012-08-31,49.64,49.9,49.4,49.47,6232720,DIS
2012-09-04,49.54,49.83,49.23,49.66,6991086,DIS
2012-09-05,50.14,51.24,50.09,50.79,16689507,DIS
2012-09-06,50.7,51.87,50.64,51.86,10125387,DIS
2012-09-07,51.87,52.0,51.66,51.74,8923587,DIS
2012-09-10,51.61,51.8,51.48,51.52,7479419,DIS
2012-09-11,51.47,51.67,51.43,51.56,6631746,DIS
2012-09-12,51.6,51.79,51.27,51.7,7100278,DIS
2012-09-13,51.73,52.67,51.73,52.6,11185008,DIS
2012-09-14,52.45,52.75,52.17,52.35,9508295,DIS
2012-09-17,52.32,52.43,51.96,52.15,7852831,DIS
2012-09-18,52.03,52.12,51.77,51.9,7100837,DIS
2012-09-19,51.78,52.95,51.78,52.7,7822414,DIS
2012-09-20,52.43,52.91,52.43,52.66,8600654,DIS
2012-09-21,52.94,53.39,52.73,52.74,13231188,DIS
2012-09-24,52.67,53.05,52.61,52.92,6148035,DIS
2012-09-25,52.89,53.4,52.54,52.54,7421595,DIS
2012-09-26,52.42,52.6,51.77,51.94,8017898,DIS
2012-09-27,52.12,52.78,51.97,52.58,5309395,DIS
2012-09-28,52.41,52.53,52.05,52.28,6698647,DIS
2012-10-01,52.31,52.86,51.92,52.07,6558214,DIS
2012-10-02,52.13,52.25,51.47,51.64,7244706,DIS
2012-10-03,51.72,52.69,51.69,52.47,6626795,DIS
2012-10-04,52.72,53.08,52.39,52.63,6507785,DIS
2012-10-05,52.84,53.15,52.76,52.97,5223159,DIS
