Date,Open,High,Low,Close,Volume,Name
2012-08-13,21.04,21.06,20.88,20.99,26878876,GE
2012-08-14,21.08,21.11,20.9,20.94,30096927,GE
2012-08-15,20.86,21.03,20.79,20.96,28870220,GE
2012-08-16,20.87,21.14,20.82,21.05,33602888,GE
2012-08-17,21.1,21.1,20.94,21.0,30032473,GE
2012-08-20,20.95,21.02,20.83,20.93,27390858,GE
2012-08-21,20.96,21.05,20.8,20.85,30439914,GE
2012-08-22,20.77,20.87,20.71,20.78,28017164,GE
2012-08-23,20.74,20.79,20.63,20.64,36539037,GE
2012-08-24,20.59,20.9,20.55,20.8,29340529,GE
2012-08-27,20.82,20.95,20.79,20.85,28776209,GE
2012-08-28,20.76,20.92,20.76,20.81,25913694,GE
2012-08-29,20.82,20.95,20.81,20.82,19928003,GE
2012-08-30,20.72,20.78,20.62,20.64,21244008,GE
2012-08-31,20.76,20.83,20.61,20.71,29685826,GE
2012-09-04,20.63,20.69,20.48,20.51,38176227,GE
2012-09-05,20.55,20.77,20.51,20.65,33034691,GE
2012-09-06,20.87,21.32,20.85,21.31,53179314,GE
2012-09-07,21.32,21.59,21.3,21.59,36381314,GE
2012-09-10,21.48,21.65,21.43,21.48,33682207,GE
2012-09-11,21.49,21.69,21.4,21.59,33593297,GE
2012-09-12,21.67,21.93,21.66,21.89,43014200,GE
2012-09-13,21.77,22.24,21.75,22.02,111794220,GE
2012-09-14,22.2,22.37,21.98,22.11,100180863,GE
2012-09-17,21.93,22.05,21.9,22.05,79289815,GE
2012-09-18,21.99,22.24,21.96,22.24,38834677,GE
2012-09-19,22.3,22.49,22.25,22.43,40467470,GE
2012-09-20,22.19,22.47,22.12,22.43,43681368,GE
2012-09-21,22.55,22.69,22.46,22.53,66578109,GE
2012-09-24,22.4,22.45,22.3,22.36,36804733,GE
2012-09-25,22.39,22.66,22.3,22.31,47040300,GE
2012-09-26,22.16,22.25,22.07,22.1,41126125,GE
2012-09-27,22.24,22.86,22.13,22.73,67310402,GE
2012-09-28,22.77,22.96,22.62,22.71,70936863,GE
2012-10-01,22.72,23.0,22.71,22.81,42559472,GE
2012-10-02,22.93,22.99,22.71,22.79,45298058,GE
2012-10-03,22.86,22.98,22.72,22.91,32929397,GE
2012-10-04,22.95,23.05,22.77,22.95,40347444,GE
2012-10-05,23.04,23.18,23.0,23.12,38320883,GE
2012-10-08,22.87,22.99,22.85,22.92,24202932,GE
2012-10-09,22.94,22.97,22.6,22.62,39181933,GE
2012-10-10,22.61,22.74,22.41,22.43,32784023,GE
2012-10-11,22.59,22.71,22.48,22.51,24166913,GE
2012-10-12,22.58,22.71,22.41,22.48,32957738,GE
2012-10-15,22.54,22.7,22.49,22.64,29580842,GE
2012-10-16,22.79,22.88,22.57,22.64,35674161,GE
2012-10-17,22.77,22.92,22.72,22.91,28273172,GE
2012-10-18,22.81,23.08,22.8,22.81,43146844,GE
2012-10-19,22.51,22.53,21.87,22.03,107882145,GE
2012-10-22,21.86,21.95,21.25,21.7,86744990,GE
2012-10-23,21.35,21.4,21.2,21.28,56299378,GE
2012-10-24,21.43,21.46,21.24,21.26,42297860,GE
2012-10-25,21.5,21.57,21.03,21.26,45774003,GE
2012-10-26,21.19,21.4,21.07,21.11,42828103,GE
2012-10-31,21.26,21.32,20.97,21.06,39182875,GE
2012-11-01,21.03,21.39,21.02,21.34,46234753,GE
2012-11-02,21.53,21.68,21.26,21.31,47480107,GE
2012-11-05,21.2,21.47,21.2,21.41,30002485,GE
2012-11-06,21.51,21.78,21.45,21.59,32736651,GE
2012-11-07,21.36,21.52,21.07,21.13,45253406,GE
2012-11-08,21.16,21.19,20.88,20.89,40771487,GE
2012-11-09,20.76,21.3,20.7,21.0,40307661,GE
2012-11-12,21.04,21.14,20.88,20.89,21818983,GE
2012-11-13,20.6,20.95,20.57,20.68,41089074,GE
2012-11-14,20.73,20.75,19.95,20.01,65539422,GE
2012-11-15,19.9,20.23,19.9,20.06,51767716,GE
2012-11-16,20.1,20.19,19.87,20.15,45295523,GE
2012-11-19,20.41,20.72,20.39,20.66,38283370,GE
2012-11-20,20.67,20.69,20.37,20.62,26846413,GE
2012-11-21,20.7,20.74,20.57,20.68,41020494,GE
2012-11-23,20.81,21.04,20.73,21.04,35456438,GE
2012-11-26,20.88,21.07,20.87,21.06,47748947,GE
2012-11-27,21.04,21.2,20.85,20.87,33005681,GE
2012-11-28,20.75,21.15,20.5,21.14,34786887,GE
2012-11-29,21.24,21.36,20.95,21.13,27633308,GE
2012-11-30,21.14,21.26,21.04,21.13,37862157,GE
2012-12-03,21.18,21.23,20.8,20.82,29997924,GE
2012-12-04,20.87,21.01,20.71,20.86,36819591,GE
2012-12-05,20.91,21.36,20.86,21.23,46466462,GE
2012-12-06,21.2,21.39,21.08,21.37,32753387,GE
2012-12-07,21.44,21.48,21.24,21.46,33557839,GE
2012-12-10,21.43,21.5,21.36,21.39,27606714,GE
2012-12-11,21.48,21.75,21.36,21.51,45769284,GE
2012-12-12,21.61,21.95,21.57,21.78,42413640,GE
2012-12-13,21.74,21.92,21.55,21.62,33973877,GE
2012-12-14,21.61,21.76,21.55,21.62,47536553,GE
2012-12-17,21.69,21.95,21.69,21.93,48487621,GE
2012-12-18,21.85,21.91,21.41,21.69,81119535,GE
2012-12-19,21.64,21.66,20.97,21.01,92330677,GE
2012-12-20,20.91,21.24,20.87,21.05,50831439,GE
2012-12-21,20.84,20.99,20.56,20.88,80856181,GE
2012-12-24,20.79,20.96,20.75,20.82,15101554,GE
2012-12-26,20.81,20.94,20.71,20.77,28557302,GE
2012-12-27,20.8,20.87,20.42,20.69,38422484,GE
2012-12-28,20.45,20.71,20.43,20.44,32403303,GE
2012-12-31,20.29,21.0,20.26,20.99,58800074,GE
2013-01-02,21.51,21.54,21.2,21.34,46089472,GE
2013-01-03,21.48,21.49,21.05,21.1,48513419,GE
2013-01-04,21.21,21.26,21.12,21.2,29802589,GE
2013-01-07,21.16,21.22,20.96,21.13,32749874,GE
2013-01-08,21.1,21.12,20.68,20.9,40051733,GE
2013-01-09,21.04,21.07,20.93,20.95,28545934,GE
2013-01-10,21.04,21.23,20.96,21.17,33348152,GE
2013-01-11,21.22,21.24,21.02,21.13,41839652,GE
2013-01-14,21.18,21.24,21.07,21.12,31715889,GE
2013-01-15,21.04,21.21,21.01,21.2,26555068,GE
2013-01-16,21.15,21.2,21.06,21.12,38934986,GE
2013-01-17,21.22,21.54,21.12,21.3,63858300,GE
2013-01-18,21.94,22.19,21.59,22.04,113095642,GE
2013-01-22,22.18,22.2,21.9,22.01,55174351,GE
2013-01-23,21.98,22.03,21.75,21.94,47228459,GE
2013-01-24,21.96,22.19,21.95,22.05,46992128,GE
2013-01-25,22.28,22.31,22.11,22.29,41919751,GE
2013-01-28,22.44,22.54,22.26,22.5,49567562,GE
2013-01-29,22.49,22.58,22.4,22.5,34149838,GE
2013-01-30,22.52,22.55,22.23,22.23,36207615,GE
2013-01-31,22.21,22.4,22.18,22.28,34439693,GE
2013-02-01,22.43,22.64,22.32,22.62,43845105,GE
2013-02-04,22.41,22.49,22.28,22.31,35838763,GE
2013-02-05,22.48,22.62,22.45,22.54,30917635,GE
2013-02-06,22.47,22.5,22.31,22.44,42988593,GE
2013-02-07,22.5,22.51,22.27,22.48,38328930,GE
2013-02-08,22.5,22.56,22.45,22.5,24428426,GE
2013-02-11,22.49,22.51,22.35,22.45,19740306,GE
2013-02-12,22.48,22.65,22.48,22.58,34297471,GE
2013-02-13,23.11,23.48,23.04,23.39,84945658,GE
2013-02-14,23.25,23.49,23.11,23.41,54000329,GE
2013-02-15,23.48,23.55,23.23,23.29,39291282,GE
2013-02-19,23.42,23.75,23.41,23.75,41223402,GE
2013-02-20,23.71,23.75,23.35,23.41,38108747,GE
2013-02-21,23.18,23.35,23.12,23.26,47821500,GE
2013-02-22,23.35,23.45,23.23,23.39,27845217,GE
2013-02-25,23.5,23.53,22.81,22.81,51631279,GE
2013-02-26,22.97,23.15,22.91,23.05,41324083,GE
2013-02-27,23.02,23.4,23.0,23.37,29677308,GE
2013-02-28,23.37,23.46,23.2,23.22,39736064,GE
2013-03-01,23.02,23.34,23.0,23.19,41229377,GE
2013-03-04,23.15,23.28,23.03,23.27,25459307,GE
2013-03-05,23.46,23.71,23.44,23.59,35738963,GE
2013-03-06,23.84,23.84,23.67,23.67,31543603,GE
2013-03-07,23.7,23.83,23.67,23.68,22961667,GE
2013-03-08,23.86,23.9,23.68,23.77,28958976,GE
2013-03-11,23.69,23.75,23.45,23.62,34954138,GE
2013-03-12,23.59,23.6,23.33,23.41,36599070,GE
2013-03-13,23.44,23.52,23.4,23.49,24155421,GE
2013-03-14,23.55,23.76,23.51,23.69,34650796,GE
2013-03-15,23.44,23.72,23.36,23.44,58862139,GE
2013-03-18,23.17,23.35,23.13,23.25,33703544,GE
2013-03-19,23.3,23.36,23.17,23.32,36151432,GE
2013-03-20,23.73,23.8,23.33,23.46,39254122,GE
2013-03-21,23.42,23.6,23.29,23.29,38548336,GE
2013-03-22,23.32,23.4,23.28,23.37,30606056,GE
2013-03-25,23.45,23.48,23.05,23.24,41689276,GE
2013-03-26,23.27,23.3,23.01,23.12,32359860,GE
2013-03-27,23.02,23.14,22.85,23.1,27494048,GE
2013-03-28,23.14,23.2,22.99,23.12,31153440,GE
2013-04-01,23.03,23.1,22.97,23.08,27465881,GE
2013-04-02,23.17,23.37,23.09,23.34,29180237,GE
2013-04-03,23.38,23.4,22.92,23.0,52582879,GE
2013-04-04,23.01,23.13,22.96,23.08,30476337,GE
2013-04-05,22.8,22.94,22.76,22.93,31407644,GE
2013-04-08,23.03,23.12,22.83,23.12,30493640,GE
2013-04-09,23.25,23.25,22.9,23.06,31673112,GE
2013-04-10,23.1,23.65,23.06,23.58,39782026,GE
2013-04-11,23.55,23.72,23.43,23.59,27084431,GE
2013-04-12,23.49,23.59,23.33,23.46,27235307,GE
2013-04-15,23.28,23.3,22.81,22.81,46536181,GE
2013-04-16,23.07,23.1,22.9,23.1,36016621,GE
2013-04-17,22.96,23.03,22.65,22.76,42676928,GE
2013-04-18,22.76,22.84,22.57,22.67,41177812,GE
2013-04-19,21.94,22.03,21.61,21.75,108844759,GE
2013-04-22,21.67,21.68,21.11,21.35,87840776,GE
2013-04-23,21.55,21.69,21.36,21.5,65822433,GE
2013-04-24,21.69,22.03,21.65,21.96,51506646,GE
2013-04-25,22.21,22.23,21.91,21.95,41469691,GE
2013-04-26,21.98,22.4,21.97,22.21,47032947,GE
2013-04-29,22.31,22.32,22.0,22.27,36536118,GE
2013-04-30,22.29,22.38,22.21,22.29,34078837,GE
2013-05-01,22.1,22.35,22.1,22.15,39203372,GE
2013-05-02,22.25,22.32,22.15,22.32,27653766,GE
2013-05-03,22.57,22.85,22.55,22.57,45531904,GE
2013-05-06,22.56,22.64,22.32,22.58,28566488,GE
2013-05-07,22.69,22.79,22.62,22.68,28211653,GE
2013-05-08,22.68,23.02,22.62,23.01,39979528,GE
2013-05-09,22.99,23.1,22.69,22.78,29978312,GE
2013-05-10,22.77,22.91,22.59,22.9,35117837,GE
2013-05-13,22.86,22.88,22.62,22.85,30287894,GE
2013-05-14,22.85,23.07,22.81,23.01,39604000,GE
2013-05-15,23.04,23.25,22.91,23.24,40162865,GE
2013-05-16,23.1,23.35,23.1,23.27,33026928,GE
2013-05-17,23.27,23.48,23.2,23.46,41041295,GE
2013-05-20,23.46,23.58,23.42,23.57,32887123,GE
2013-05-21,23.59,23.78,23.59,23.66,33820382,GE
2013-05-22,23.78,24.13,23.75,23.86,68523504,GE
2013-05-23,23.52,23.75,23.45,23.66,44389216,GE
2013-05-24,23.5,23.67,23.49,23.53,41017825,GE
2013-05-28,23.77,23.84,23.58,23.6,47325972,GE
2013-05-29,23.42,23.7,23.4,23.64,39237382,GE
2013-05-30,23.58,23.76,23.5,23.6,29348751,GE
2013-05-31,23.59,23.79,23.31,23.32,49264824,GE
2013-06-03,23.37,23.78,23.32,23.64,45238858,GE
2013-06-04,23.59,23.76,23.41,23.66,38702401,GE
2013-06-05,23.55,23.58,23.21,23.32,44761823,GE
2013-06-06,23.25,23.39,23.1,23.38,42679453,GE
2013-06-07,23.54,23.95,23.47,23.86,49043480,GE
2013-06-10,23.88,23.92,23.64,23.78,41629505,GE
2013-06-11,23.49,23.69,23.48,23.58,35978657,GE
2013-06-12,23.7,23.73,23.42,23.5,33844535,GE
2013-06-13,23.45,23.78,23.34,23.68,34932623,GE
2013-06-14,23.68,23.75,23.46,23.52,27718682,GE
2013-06-17,23.75,23.85,23.65,23.77,39282823,GE
