Date,Open,High,Low,Close,Volume,Name
2012-08-13,324.03,330.41,323.66,330.34,3268073,GOOGL
2012-08-14,329.95,336.76,329.83,334.66,3662178,GOOGL
2012-08-15,335.48,337.46,332.38,334.1,2411100,GOOGL
2012-08-16,334.09,337.66,333.87,336.77,1717691,GOOGL
2012-08-17,337.4,338.96,336.19,338.91,2177896,GOOGL
2012-08-20,338.09,339.77,336.67,338.11,1758421,GOOGL
2012-08-21,336.89,339.34,331.42,335.09,2222805,GOOGL
2012-08-22,334.02,340.64,333.68,338.93,1909262,GOOGL
2012-08-23,337.47,340.58,335.84,338.74,1784453,GOOGL
2012-08-24,338.14,340.57,337.38,339.65,1429267,GOOGL
2012-08-27,331.83,336.34,329.95,334.94,2614131,GOOGL
2012-08-28,332.83,339.15,332.7,338.96,2058938,GOOGL
2012-08-29,339.02,344.84,338.41,344.35,2991037,GOOGL
2012-08-30,342.46,344.04,340.43,341.18,1627704,GOOGL
2012-08-31,342.34,344.63,340.36,342.89,2127125,GOOGL
2012-09-04,342.62,342.84,337.09,340.86,1889613,GOOGL
2012-09-05,340.34,343.59,339.91,340.7,1708169,GOOGL
2012-09-06,343.32,350.29,342.71,350.05,3044450,GOOGL
2012-09-07,350.35,356.48,349.18,353.43,3236308,GOOGL
2012-09-10,355.23,356.76,349.54,350.74,2560067,GOOGL
2012-09-11,349.33,350.68,345.85,346.44,1874004,GOOGL
2012-09-12,345.05,347.8,340.78,345.78,2642260,GOOGL
2012-09-13,346.89,354.85,345.62,353.37,2659302,GOOGL
2012-09-14,355.15,356.86,353.86,355.19,2618874,GOOGL
2012-09-17,354.41,356.8,352.85,355.34,1508307,GOOGL
2012-09-18,354.24,359.69,353.74,359.5,2067249,GOOGL
2012-09-19,359.11,364.64,358.56,364.11,3098782,GOOGL
2012-09-20,362.6,366.06,360.97,364.42,2907854,GOOGL
2012-09-21,366.47,367.83,365.43,367.36,6360376,GOOGL
2012-09-24,365.87,375.4,365.49,375.06,3565837,GOOGL
2012-09-25,376.9,382.83,374.2,374.95,6061033,GOOGL
2012-09-26,375.3,381.0,370.87,377.11,5674334,GOOGL
2012-09-27,380.35,381.8,376.2,378.63,3932272,GOOGL
2012-09-28,377.45,380.03,375.95,377.63,2784091,GOOGL
2012-10-01,379.9,382.88,378.48,381.27,3168477,GOOGL
2012-10-02,382.98,383.38,375.51,378.87,2790375,GOOGL
2012-10-03,378.24,382.34,376.48,381.63,2208639,GOOGL
2012-10-04,381.76,385.33,380.08,384.41,2454496,GOOGL
2012-10-05,385.74,387.58,382.88,384.21,2737751,GOOGL
2012-10-08,380.88,382.17,377.45,379.3,1958625,GOOGL
2012-10-09,380.22,381.04,371.64,372.42,3003884,GOOGL
2012-10-10,371.3,374.14,369.51,372.65,2041203,GOOGL
2012-10-11,376.83,379.63,375.52,376.12,2383987,GOOGL
2012-10-12,376.3,377.81,372.42,372.75,2406787,GOOGL
2012-10-15,371.34,372.29,365.72,370.86,3020098,GOOGL
2012-10-16,370.44,373.87,368.6,372.72,2058468,GOOGL
2012-10-17,372.35,378.55,370.5,378.12,2292819,GOOGL
2012-10-18,378.15,380.09,338.34,347.85,12442346,GOOGL
2012-10-19,353.14,353.7,336.34,341.24,11483428,GOOGL
2012-10-22,340.85,342.66,335.18,339.67,4057872,GOOGL
2012-10-23,336.34,344.01,336.34,340.52,2916978,GOOGL
2012-10-24,343.74,343.84,337.97,338.99,2496411,GOOGL
2012-10-25,340.34,341.34,337.09,339.22,2403696,GOOGL
2012-10-26,338.59,341.86,335.94,337.91,1950865,GOOGL
2012-10-31,340.27,340.84,337.84,340.49,1537001,GOOGL
2012-11-01,340.09,345.8,339.7,344.14,2050471,GOOGL
