Date,Open,High,Low,Close,Volume,Name
2012-08-13,26.76,26.83,26.41,26.69,23623918,INTC
2012-08-14,26.8,26.81,26.38,26.48,27477260,INTC
2012-08-15,26.23,26.47,26.19,26.27,26081909,INTC
2012-08-16,26.44,26.65,26.34,26.59,25702363,INTC
2012-08-17,26.57,26.63,26.21,26.33,30379903,INTC
2012-08-20,26.22,26.33,26.1,26.23,25602646,INTC
2012-08-21,26.33,26.34,25.99,26.11,31663615,INTC
2012-08-22,25.89,26.01,25.66,25.73,33629348,INTC
2012-08-23,25.58,25.58,24.93,25.04,51404063,INTC
2012-08-24,25.05,25.07,24.7,24.91,45187476,INTC
2012-08-27,24.86,24.94,24.75,24.84,34434214,INTC
2012-08-28,24.79,25.01,24.68,25.0,33121059,INTC
2012-08-29,24.93,24.96,24.54,24.67,60466739,INTC
2012-08-30,24.57,24.64,24.15,24.27,37184069,INTC
2012-08-31,24.5,25.0,24.48,24.83,43448215,INTC
2012-09-04,25.03,25.06,24.27,24.42,40696298,INTC
2012-09-05,24.4,24.78,24.19,24.39,38604189,INTC
2012-09-06,24.47,25.1,24.46,25.1,40188756,INTC
2012-09-07,24.13,24.7,24.01,24.19,86289482,INTC
2012-09-10,23.95,24.6,23.17,23.26,80584598,INTC
2012-09-11,23.3,23.65,23.2,23.34,54241191,INTC
2012-09-12,23.39,23.58,23.06,23.19,44872479,INTC
2012-09-13,23.01,23.41,22.83,23.36,52998246,INTC
2012-09-14,23.45,23.54,23.23,23.37,47987874,INTC
2012-09-17,23.29,23.44,23.16,23.31,36169871,INTC
2012-09-18,23.31,23.52,23.14,23.37,41953136,INTC
2012-09-19,23.5,23.51,23.14,23.15,39459735,INTC
2012-09-20,23.09,23.18,22.99,23.18,33083719,INTC
2012-09-21,23.22,23.27,23.01,23.12,56249066,INTC
2012-09-24,22.93,22.95,22.52,22.8,48848531,INTC
2012-09-25,22.95,22.96,22.51,22.54,49535056,INTC
2012-09-26,22.57,22.75,22.48,22.64,49734618,INTC
2012-09-27,22.76,23.14,22.65,23.08,43880654,INTC
2012-09-28,23.06,23.06,22.59,22.66,47926538,INTC
2012-10-01,22.75,23.17,22.68,22.76,55266053,INTC
2012-10-02,22.89,23.0,22.66,22.84,36389344,INTC
2012-10-03,22.86,22.97,22.49,22.55,49779589,INTC
2012-10-04,22.58,22.62,22.27,22.46,52982312,INTC
2012-10-05,22.66,22.9,22.58,22.68,38348355,INTC
