Date,Open,High,Low,Close,Volume,Name
2012-08-13,30.35,30.46,30.16,30.39,23053520,MSFT
2012-08-14,30.3,30.39,30.01,30.13,34552536,MSFT
2012-08-15,30.11,30.28,30.02,30.2,24351641,MSFT
2012-08-16,30.36,30.94,30.26,30.78,35788904,MSFT
2012-08-17,30.92,30.92,30.59,30.9,32597464,MSFT
2012-08-20,30.82,30.85,30.58,30.74,23739124,MSFT
2012-08-21,30.76,30.96,30.61,30.8,28823883,MSFT
2012-08-22,30.59,30.76,30.46,30.54,33438369,MSFT
2012-08-23,30.39,30.4,30.08,30.26,28356539,MSFT
2012-08-24,30.25,30.63,30.18,30.56,22951098,MSFT
2012-08-27,30.93,30.96,30.59,30.69,34692509,MSFT
2012-08-28,30.7,30.8,30.52,30.63,23948613,MSFT
2012-08-29,30.65,30.75,30.44,30.65,23347975,MSFT
2012-08-30,30.53,30.61,30.22,30.32,23982028,MSFT
2012-08-31,30.6,30.96,30.38,30.82,36595417,MSFT
2012-09-04,30.45,30.66,30.15,30.38,48561825,MSFT
2012-09-05,30.22,30.53,30.21,30.39,33650751,MSFT
2012-09-06,30.5,31.36,30.46,31.34,48371613,MSFT
2012-09-07,31.04,31.07,30.73,30.95,42652923,MSFT
2012-09-10,30.83,30.9,30.51,30.72,40524855,MSFT
2012-09-11,30.69,30.91,30.61,30.79,25194218,MSFT
2012-09-12,30.94,31.18,30.73,30.78,32779041,MSFT
2012-09-13,30.89,31.18,30.4,30.94,45052177,MSFT
2012-09-14,31.01,31.25,30.81,31.21,51422730,MSFT
2012-09-17,31.19,31.26,31.04,31.21,36488844,MSFT
2012-09-18,31.1,31.21,31.03,31.18,34542689,MSFT
2012-09-19,31.09,31.19,31.04,31.05,48881762,MSFT
2012-09-20,30.95,31.48,30.91,31.45,45549355,MSFT
2012-09-21,31.43,31.61,31.09,31.19,102348791,MSFT
2012-09-24,30.98,31.07,30.64,30.78,46825826,MSFT
2012-09-25,30.95,31.0,30.36,30.39,54275689,MSFT
2012-09-26,30.28,30.6,30.04,30.16,54679301,MSFT
2012-09-27,30.17,30.4,29.89,30.16,47130850,MSFT
2012-09-28,30.18,30.26,29.74,29.76,54232061,MSFT
2012-10-01,29.81,29.98,29.42,29.49,54042532,MSFT
2012-10-02,29.68,29.89,29.5,29.66,43338811,MSFT
2012-10-03,29.75,29.99,29.67,29.86,46663995,MSFT
2012-10-04,29.97,30.03,29.57,30.03,43640874,MSFT
