Date,Open,High,Low,Close,Volume,Name
2012-08-13,23.81,23.87,23.66,23.72,23039603,PFE
2012-08-14,23.85,24.08,23.83,23.98,23737339,PFE
2012-08-15,23.98,24.18,23.97,24.04,17845206,PFE
2012-08-16,24.07,24.08,23.83,24.02,21251895,PFE
2012-08-17,24.07,24.07,23.67,23.79,29214127,PFE
2012-08-20,23.71,23.98,23.71,23.91,23228071,PFE
2012-08-21,23.9,23.97,23.65,23.69,21270924,PFE
2012-08-22,23.59,23.78,23.59,23.7,19238661,PFE
2012-08-23,23.77,23.83,23.7,23.74,21102512,PFE
2012-08-24,23.72,24.1,23.72,24.01,23084678,PFE
2012-08-27,23.92,24.01,23.87,23.89,19340257,PFE
2012-08-28,23.83,24.02,23.82,23.85,18304296,PFE
2012-08-29,23.91,24.11,23.8,23.96,18369507,PFE
2012-08-30,23.87,23.99,23.81,23.84,19749273,PFE
2012-08-31,23.88,24.07,23.75,23.86,26233736,PFE
2012-09-04,23.85,23.9,23.74,23.78,34773042,PFE
2012-09-05,23.91,23.95,23.72,23.92,23626714,PFE
2012-09-06,24.1,24.38,24.09,24.34,23555708,PFE
2012-09-07,24.31,24.36,24.13,24.24,22801483,PFE
2012-09-10,24.2,24.26,24.1,24.1,17111330,PFE
2012-09-11,24.08,24.23,24.06,24.17,20128508,PFE
2012-09-12,24.16,24.21,24.07,24.07,19959829,PFE
2012-09-13,24.04,24.26,23.85,24.25,30912629,PFE
2012-09-14,24.18,24.18,23.63,23.8,59031501,PFE
2012-09-17,23.68,24.05,23.68,24.02,28379517,PFE
2012-09-18,23.94,24.09,23.91,24.01,25093267,PFE
2012-09-19,24.04,24.38,24.02,24.16,27534997,PFE
2012-09-20,24.13,24.41,24.04,24.41,27196719,PFE
2012-09-21,24.46,24.66,24.39,24.52,45441756,PFE
2012-09-24,24.45,24.84,24.45,24.75,26494936,PFE
2012-09-25,24.84,25.15,24.8,24.84,34232930,PFE
2012-09-26,24.91,24.99,24.79,24.83,28979735,PFE
2012-09-27,24.87,25.02,24.86,24.96,23091243,PFE
